DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,27,19,11,21,27,19,0,84,10,1014,27.375,28,17,20,113,116,113,0,1,11.6,météo favorable
2009-01-02,29,19,10,21,29,20,0,79,10,1013,22.375,29,17,21,116,113,113,0,1,11.6,météo idéale
2009-01-03,29,19,12,22,29,21,0,73,10,1014,19.125,29,16,21,116,113,113,0,1,11.5,météo idéale
2009-01-04,29,19,12,23,29,21,0,80,10,1014,17.125,30,18,21,113,116,113,0,1,11.5,météo favorable
2009-01-05,25,17,13,21,25,18,0,84,10,1015,30.875,26,17,19,116,116,113,0,1,11.5,météo favorable
2009-01-06,26,19,14,22,26,19,0,84,10,1013,27.375,27,17,20,113,116,116,0,1,8.7,météo favorable
2009-01-07,28,20,16,22,28,23,0,65,10,1014,26.375,28,16,23,116,116,113,0,1,8.7,météo favorable
2009-01-08,30,20,15,22,30,21,0,72,10,1014,18.5,30,16,21,113,116,113,0,1,8.7,météo favorable
2009-01-09,29,19,14,21,29,19,0,79,10,1015,10.375,29,16,20,113,113,113,0,1,8.7,météo idéale
2009-01-10,28,19,14,21,28,19,0,81,10,1015,14.625,28,15,19,116,113,113,0,1,8.7,météo idéale
2009-01-11,28,20,14,21,28,22,0,64,10,1014,19.75,28,15,22,113,113,116,0,1,8.7,météo idéale
2009-01-12,27,20,12,22,27,21,0,73,10,1015,29,27,16,21,113,116,113,0,1,8.7,météo favorable
2009-01-13,27,19,14,22,27,19,0,80,10,1015,17.875,28,16,19,113,113,113,0,1,8.7,météo idéale
2009-01-14,28,18,14,21,28,18,0,80,10,1015,8.625,28,15,18,113,113,113,0,1,8.7,météo idéale
2009-01-15,30,19,13,21,30,21,0,70,10,1016,6.5,29,15,21,113,113,113,0,1,8.7,météo idéale
2009-01-16,29,20,13,22,29,21,0,69,10,1015,15.125,29,15,21,113,113,113,0,1,8.7,météo idéale
2009-01-17,27,20,12,22,27,22,0,68,10,1016,24.5,28,16,22,113,113,113,0,1,8.7,météo idéale
2009-01-18,28,20,13,22,28,21,0,82,10,1017,21.375,29,17,21,116,113,113,0,1,8.7,météo idéale
2009-01-19,28,20,11,22,28,22,0,68,10,1016,25.375,28,17,23,113,113,116,0,1,8.7,météo idéale
2009-01-20,29,20,11,22,29,23,0,65,10,1015,20.5,30,16,23,113,113,113,0,1,8.7,météo idéale
2009-01-21,28,19,10,21,28,21,0.1,78,10,1016,25.5,29,17,21,116,116,116,0,1,8.7,météo favorable
2009-01-22,30,20,13,21,30,22,0,72,10,1015,27.375,30,17,22,113,113,116,0,1,8.7,météo idéale
2009-01-23,26,19,14,22,26,22,0,69,10,1016,27.5,27,16,22,116,116,113,0,1,8.7,météo favorable
2009-01-24,26,19,13,21,26,21,0,69,10,1014,21.75,27,16,21,113,113,113,0,1,8.7,météo idéale
2009-01-25,28,20,15,21,28,21,0,69,10,1013,14.25,28,15,21,113,113,113,0,1,8.7,météo idéale
2009-01-26,30,19,14,21,30,19,0,74,10,1014,4.375,29,15,19,113,113,113,0,1,8.7,météo idéale
2009-01-27,28,19,15,22,26,19,0,79,10,1015,11.875,28,15,19,113,113,113,0,1,8.7,météo idéale
2009-01-28,30,20,14,22,30,20,0,74,10,1014,8,29,16,20,113,113,113,0,1,8.7,météo idéale
2009-01-29,29,20,12,22,29,21,0,70,10,1015,19.5,29,15,21,113,116,113,0,1,11.6,météo favorable
2009-01-30,28,21,13,22,28,22,0,78,10,1014,32,29,18,22,113,116,116,0,1,11.6,météo favorable
2009-01-31,24,18,8,21,22,19,0,94,9,1015,28.25,25,18,19,116,116,113,0,1,11.6,météo favorable
2009-02-01,26,18,12,20,26,20,0,78,10,1014,31.625,27,17,21,116,116,116,0,1,11.6,météo favorable
2009-02-02,29,20,13,22,29,22,0,66,10,1013,21.375,29,16,22,113,116,113,0,1,11.6,météo favorable
2009-02-03,28,18,11,21,28,20,0,78,10,1014,12.875,29,16,20,113,113,113,0,1,11.6,météo idéale
2009-02-04,30,17,13,21,30,22,0,72,10,1016,17.375,30,16,22,113,113,113,0,1,11.6,météo idéale
2009-02-05,29,21,15,22,29,22,0,64,10,1015,16.375,29,16,22,113,113,113,0,1,11.6,météo idéale
2009-02-06,28,19,14,22,28,20,0,81,10,1016,22.5,29,16,20,116,113,113,0,1,11.6,météo idéale
2009-02-07,29,19,14,22,29,21,0,66,10,1016,15.875,29,14,21,113,113,113,0,1,11.6,météo idéale
2009-02-08,30,21,13,22,30,23,0,63,10,1014,13.875,30,16,23,113,113,113,0,1,11.6,météo idéale
2009-02-09,29,22,13,23,29,22,0,69,10,1014,17.25,29,16,22,113,113,113,0,1,11.6,météo idéale
2009-02-10,28,21,14,23,28,23,0,65,10,1014,22.5,29,16,23,113,113,116,0,1,11.6,météo idéale
2009-02-11,24,21,17,22,24,23,0,65,10,1015,47.25,26,17,23,116,116,116,0,1,8.8,météo favorable
2009-02-12,27,19,14,22,27,20,0.1,72,10,1015,29.625,28,15,20,113,116,116,0,1,11.6,météo favorable
2009-02-13,27,19,12,21,27,19,0,81,10,1013,24,27,16,19,116,113,113,0,1,11.6,météo idéale
2009-02-14,27,21,17,22,27,23,0,65,10,1013,35.125,28,16,23,116,122,116,0,1,10.2,météo correcte
2009-02-15,26,21,12,21,26,23,0,72,10,1014,38.25,27,17,22,116,113,116,0,1,11.6,météo favorable
2009-02-16,31,21,13,22,31,22,0,57,10,1013,16.75,31,14,23,113,113,113,0,1,11.6,météo idéale
2009-02-17,30,21,14,22,30,24,0,56,10,1013,16.75,30,14,24,113,113,113,0,1,11.6,météo idéale
2009-02-18,29,21,15,22,29,22,0,68,10,1013,28.625,29,16,22,116,116,116,0,1,11.6,météo favorable
2009-02-19,28,22,16,23,28,22,0,65,10,1013,20.25,28,15,22,113,113,113,0,1,11.6,météo idéale
2009-02-20,27,21,14,22,27,21,0,78,10,1012,16.625,28,17,21,113,113,113,0,1,11.6,météo idéale
2009-02-21,30,21,14,22,30,23,0,57,10,1012,15.375,29,14,23,116,113,113,0,1,11.6,météo idéale
2009-02-22,29,22,16,22,29,23,0,56,10,1014,13.125,29,16,23,113,113,113,0,1,11.6,météo idéale
2009-02-23,30,19,15,22,30,21,0,62,10,1014,10,30,14,21,113,113,113,0,1,11.6,météo idéale
2009-02-24,30,19,13,23,30,22,0,65,10,1014,12.375,30,16,22,113,113,113,0,1,11.6,météo idéale
2009-02-25,31,20,14,23,31,22,0,59,10,1013,8.5,31,16,22,113,113,113,0,1,11.6,météo idéale
2009-02-26,32,20,14,23,32,22,0,61,10,1013,7.875,31,15,23,113,113,113,0,1,11.6,météo idéale
2009-02-27,30,21,14,23,30,22,0,57,10,1013,8.875,29,13,22,113,113,113,0,1,11.6,météo idéale
2009-02-28,31,20,10,22,31,24,0.1,56,10,1012,16.875,31,15,24,113,113,113,0,1,11.6,météo idéale
2009-03-01,31,20,10,23,31,23,0,67,10,1013,27.75,30,17,23,113,116,116,0,1,11.6,météo favorable
2009-03-02,29,19,10,22,29,22,0,59,10,1013,27,29,17,22,116,116,113,0,1,11.6,météo favorable
2009-03-03,30,20,12,23,30,23,0,68,10,1015,28,30,18,23,116,116,116,0,1,11.6,météo favorable
2009-03-04,23,19,9,21,22,21,0,75,10,1015,39.75,25,17,21,116,116,116,0,1,12,météo favorable
2009-03-05,29,20,14,22,29,23,0,66,10,1014,22.375,30,16,23,113,113,113,0,1,12,météo idéale
2009-03-06,30,19,13,22,30,20,0,67,10,1016,12.125,29,15,20,113,113,113,0,1,12,météo idéale
2009-03-07,30,20,12,22,30,23,0,60,10,1016,14,30,15,23,113,113,113,0,1,12.4,météo idéale
2009-03-08,30,21,13,22,30,22,0,63,10,1014,14.375,30,15,23,113,113,113,0,1,12.4,météo idéale
2009-03-09,31,22,13,23,31,23,0,59,10,1014,15.625,30,15,23,113,113,113,0,1,12.4,météo idéale
2009-03-10,31,21,12,21,31,24,0.1,53,10,1014,19.375,30,14,24,116,113,113,0,1,12.4,météo idéale
2009-03-11,30,21,13,22,30,24,0,56,10,1013,12.875,30,15,24,113,113,113,0,1,12.4,météo idéale
2009-03-12,28,21,14,23,28,24,0,54,10,1014,19,28,15,24,113,113,113,0,1,12.4,météo idéale
2009-03-13,31,23,15,23,31,25,0.8,59,9.875,1012,21.875,31,17,25,113,113,116,0,1,12.4,météo idéale
2009-03-14,30,22,14,23,30,24,0.5,56,9.875,1014,18.625,30,16,24,113,113,113,0,1,12.5,météo idéale
2009-03-15,27,22,13,23,27,23,0,61,10,1016,30.5,28,16,23,116,116,113,0,1,12.5,météo favorable
2009-03-16,28,21,14,23,28,23,0,65,10,1015,26,29,16,23,116,116,116,0,1,12.5,météo favorable
2009-03-17,24,21,9,22,24,21,1.5,76,9.875,1014,34.375,25,17,21,116,116,113,0,1,12.5,météo favorable
2009-03-18,24,19,8,20,24,20,0,79,10,1013,34.75,26,17,20,116,116,113,0,1,12.5,météo favorable
2009-03-19,28,18,9,22,28,22,0,76,10,1012,39.75,28,18,22,116,116,119,0,1,12.5,météo favorable
2009-03-20,27,20,7,20,27,22,0.9,68,9.875,1013,26.25,27,18,22,113,113,116,0,1,12.5,météo idéale
2009-03-21,26,20,8,21,26,21,0,83,10,1013,48,27,18,21,116,116,116,0,1,12.5,météo favorable
2009-03-22,27,20,10,22,27,21,0,80,10,1012,39.5,29,19,21,119,116,116,0,1,12.5,météo favorable
2009-03-23,24,20,9,20,24,20,0,87,10,1013,53,25,18,20,119,116,116,0,1,11.8,météo favorable
2009-03-24,28,19,9,20,28,22,0,77,10,1013,37,29,18,22,116,116,116,0,1,12.5,météo favorable
2009-03-25,28,21,10,22,28,23,0,68,10,1013,36.25,28,18,23,116,116,116,0,1,12.5,météo favorable
2009-03-26,23,21,9,21,23,21,1.1,80,9.875,1012,39.125,25,18,21,116,116,116,0,1,11.6,météo favorable
2009-03-27,29,20,11,22,29,21,0,69,10,1013,14.875,29,16,22,113,113,113,0,1,11.6,météo idéale
2009-03-28,29,18,13,22,29,23,0,69,10,1014,19,29,17,23,113,113,113,0,1,11.6,météo idéale
2009-03-29,27,19,15,23,27,20,0,86,10,1014,21.625,28,18,20,113,113,113,0,1,11.6,météo idéale
2009-03-30,29,21,13,22,29,22,0,73,10,1014,20.25,30,17,22,113,116,113,0,1,11.6,météo favorable
2009-03-31,28,20,13,23,28,23,3.7,70,9.75,1014,24.75,29,18,23,113,113,116,0,1,11.6,météo favorable
2009-04-01,28,20,10,21,28,23,0,67,10,1015,33,29,17,23,116,113,113,0,1,11.6,météo favorable
2009-04-02,28,20,14,23,28,22,0.1,79,10,1014,25.625,29,18,22,113,113,116,0,1,11.6,météo idéale
2009-04-03,29,18,12,22,29,23,0,66,10,1013,19.875,30,18,23,113,116,113,0,1,11.6,météo favorable
2009-04-04,30,19,14,22,30,24,0,59,10,1014,12.25,30,16,24,113,113,113,0,1,11.6,météo idéale
2009-04-05,31,20,13,23,31,22,0,59,10,1013,6.75,30,14,22,113,113,113,0,1,11.6,météo idéale
2009-04-06,32,18,10,23,32,20,0,57,10,1013,7,31,14,21,113,113,113,0,1,11.6,météo idéale
2009-04-07,31,18,9,23,31,24,2.4,73,10,1014,25.25,32,20,24,113,116,116,0,1,11.6,météo favorable
2009-04-08,26,20,12,22,26,22,0,76,10,1015,33.25,27,20,22,113,116,116,0,1,11.6,météo favorable
2009-04-09,24,19,12,22,23,21,0.4,77,9.875,1015,39.625,26,18,21,116,116,116,0,1,11.6,météo favorable
2009-04-10,22,19,6,20,22,20,6.7,95,6.75,1016,60.125,25,20,20,143,119,143,0,1,10.2,météo correcte
2009-04-11,28,19,12,21,28,20,0,87,10,1015,31.5,28,18,20,116,116,113,0,1,11.6,météo favorable
2009-04-12,28,19,11,22,28,22,0.1,83,10,1015,20.25,29,19,22,113,113,113,0,1,11.6,météo idéale
2009-04-13,28,19,10,22,28,22,0.1,85,8,1015,27.125,29,19,22,113,113,116,0,1,11.6,météo idéale
2009-04-14,28,19,12,22,28,21,0.1,78,10,1015,24.5,28,18,22,113,116,113,0,1,11.6,météo favorable
2009-04-15,30,19,8,22,30,23,0.1,73,10,1016,17.875,30,19,23,113,113,116,0,1,11.6,météo idéale
2009-04-16,31,19,9,23,31,23,0.3,79,9.875,1015,21.625,31,20,23,113,113,176,0,1,11.6,météo idéale
2009-04-17,26,20,8,23,26,21,0,87,10,1014,34.625,27,19,21,113,113,116,0,1,11.6,météo favorable
2009-04-18,26,19,10,22,25,21,0,90,10,1013,40.25,27,19,21,116,116,116,0,1,11.6,météo favorable
2009-04-19,28,18,8,22,28,21,0,88,6.75,1014,44.25,29,19,21,116,116,116,0,1,11.6,météo favorable
2009-04-20,28,19,9,23,27,20,0,95,7,1015,44.25,29,20,20,116,116,143,0,1,11.6,météo favorable
2009-04-21,25,19,5,21,25,20,0,92,10,1016,60.125,27,20,20,122,116,116,0,1,8.8,météo correcte
2009-04-22,28,19,12,22,28,21,0,84,10,1017,24.5,29,18,21,116,113,113,0,1,11.6,météo idéale
2009-04-23,28,20,15,22,28,21,0.1,80,10,1015,27.5,29,17,21,113,113,113,0,1,11.6,météo idéale
2009-04-24,27,19,10,20,27,20,1.5,84,9.875,1016,27.75,28,18,21,116,113,113,0,1,11.6,météo idéale
2009-04-25,28,19,10,23,28,20,0,82,10,1015,24.625,29,17,20,116,113,113,0,1,11.6,météo idéale
2009-04-26,28,18,10,22,28,21,0.1,83,10,1016,30.75,29,18,21,116,116,113,0,1,11.6,météo favorable
2009-04-27,26,18,10,22,24,19,0,91,10,1016,26.125,27,17,19,113,116,116,0,1,11.6,météo favorable
2009-04-28,29,18,9,23,29,20,0,91,10,1015,25.125,29,19,20,113,116,116,0,1,11.6,météo favorable
2009-04-29,26,19,6,22,26,21,0,87,10,1015,38.375,28,19,21,116,116,116,0,1,10.2,météo favorable
2009-04-30,25,19,7,22,24,20,0.8,95,8.25,1016,43.875,27,19,20,116,116,143,0,1,11.6,météo favorable
2009-05-01,27,19,10,21,24,19,0.8,95,8.875,1017,46.75,28,19,20,116,116,143,0,1,11.6,météo favorable
2009-05-02,25,19,9,21,25,21,8.3,98,8.375,1015,51.625,27,21,21,116,116,248,0,1,10.2,météo correcte
2009-05-03,24,19,8,21,22,20,0,99,4.25,1016,70.125,26,21,20,116,143,248,0,1,8.8,météo défavorable
2009-05-04,24,19,7,20,23,20,0.3,97,8.5,1016,51.125,26,22,20,116,116,353,0,1,11.6,météo favorable
2009-05-05,25,19,6,19,25,20,0,85,7,1016,37.75,27,19,20,143,116,116,0,1,11.6,météo favorable
2009-05-06,24,19,8,22,24,20,0.6,94,9.25,1016,42.875,26,19,20,116,116,176,0,1,11.6,météo favorable
2009-05-07,24,19,8,21,24,19,0,92,10,1015,30.125,26,19,19,116,113,116,0,1,11.6,météo favorable
2009-05-08,22,17,8,21,20,18,0,98,6.75,1015,47.375,25,19,18,116,143,248,0,1,11.6,météo correcte
2009-05-09,25,19,8,21,25,19,0,95,7,1016,45.25,27,19,19,116,116,143,0,1,10.2,météo favorable
2009-05-10,25,18,7,21,25,19,0,96,7,1015,29.75,27,19,20,116,116,143,0,1,11.6,météo favorable
2009-05-11,27,18,9,22,27,19,0,96,9,1015,22,28,19,19,113,113,143,0,1,11.6,météo idéale
2009-05-12,28,16,10,22,28,19,0,93,7.75,1013,31.625,29,18,19,113,113,116,0,1,11.6,météo favorable
2009-05-13,29,17,9,23,29,21,0,92,8.75,1014,30.375,30,19,21,113,113,113,0,1,11.6,météo favorable
2009-05-14,28,18,9,23,28,21,0,93,6.75,1014,33.75,29,20,21,113,113,116,0,1,11.6,météo favorable
2009-05-15,27,18,7,22,27,20,0,93,9,1014,30.375,28,19,20,116,116,116,0,1,11.6,météo favorable
2009-05-16,28,18,10,22,28,20,0,93,10,1013,16.25,29,19,20,113,113,113,0,1,11.6,météo idéale
2009-05-17,29,18,9,22,29,21,0.9,96,7.75,1013,38.25,30,21,21,116,116,143,0,1,11.6,météo favorable
2009-05-18,26,19,6,20,26,20,0.1,97,5.25,1015,61.25,28,20,20,116,113,248,0,1,11.6,météo correcte
2009-05-19,28,19,8,21,28,20,2,94,8.375,1015,51.875,29,20,20,116,116,143,0,1,10.2,météo favorable
2009-05-20,26,18,13,19,26,20,6.9,92,6.5,1015,52.875,27,19,20,143,116,116,0,1,11.6,météo favorable
2009-05-21,20,18,7,20,19,18,4,97,8.5,1015,48.25,20,19,18,116,248,116,0,1,10.2,météo correcte
2009-05-22,27,17,6,19,27,17,0,98,8.75,1016,40.875,29,19,17,116,113,248,0,1,11.6,météo favorable
2009-05-23,30,18,9,21,30,20,0,98,7.5,1016,38.875,31,20,20,113,113,248,0,1,11.6,météo favorable
2009-05-24,29,17,9,21,29,21,0.5,98,6.375,1016,37.625,30,20,21,113,113,248,0,1,11.6,météo favorable
2009-05-25,29,17,7,21,29,20,0.1,95,5.5,1015,36.625,30,20,21,113,113,143,0,1,11.6,météo favorable
2009-05-26,29,18,10,22,29,19,0,94,8.75,1015,21.75,30,19,19,113,113,113,0,1,11.6,météo idéale
2009-05-27,27,18,9,22,27,21,1.4,91,9.875,1015,28.875,28,20,21,116,113,116,0,1,11.6,météo idéale
2009-05-28,27,18,11,22,27,20,0.6,92,9.875,1015,24,28,19,20,113,116,113,0,1,11.6,météo favorable
2009-05-29,25,19,10,22,25,20,0.2,92,9.875,1017,38.5,27,18,20,116,116,116,0,1,11.6,météo favorable
2009-05-30,25,19,10,22,23,20,0,86,10,1016,33.25,26,18,20,113,116,116,0,1,11.6,météo favorable
2009-05-31,28,18,12,21,28,19,0,87,10,1016,13.375,28,17,19,113,113,113,0,1,12.7,météo idéale
2009-06-01,29,14,9,21,29,17,0,96,9,1016,11,29,17,17,113,113,113,0,1,12.7,météo favorable
2009-06-02,30,18,10,22,30,21,0,88,10,1015,15,30,18,21,113,113,113,0,1,12.7,météo idéale
2009-06-03,28,18,7,22,28,21,1.9,98,7.75,1015,54.375,29,21,21,116,116,248,0,1,12.6,météo favorable
2009-06-04,22,19,5,20,22,19,3.4,97,5.5,1015,64.375,25,20,19,248,116,248,0,1,11.9,météo correcte
2009-06-05,25,18,6,19,25,19,0,93,5.75,1017,62,26,19,19,143,116,119,0,1,11.9,météo correcte
2009-06-06,25,18,8,21,22,19,0,87,10,1017,38.625,26,19,19,113,116,116,0,1,12.7,météo favorable
2009-06-07,23,17,8,18,23,18,0,98,4.5,1016,59.25,25,19,18,143,116,248,0,1,12.7,météo correcte
2009-06-08,26,17,7,19,26,19,0,96,6.75,1016,59.125,27,19,19,116,116,143,0,1,12.7,météo correcte
2009-06-09,28,18,9,21,28,19,0,98,6.5,1016,40.75,29,19,20,113,113,248,0,1,12.7,météo favorable
2009-06-10,21,17,6,19,19,19,12.5,98,3.625,1016,62.25,21,20,19,143,248,248,0,1,10.5,météo correcte
2009-06-11,24,18,6,21,19,18,2.8,97,4.625,1017,54.125,25,19,18,116,143,143,0,1,11.9,météo correcte
2009-06-12,19,17,6,19,19,18,2.6,96,6.75,1017,47,19,18,18,116,143,143,0,1,12.7,météo correcte
2009-06-13,22,17,8,20,21,18,0.6,92,9.375,1017,44.625,25,18,18,116,119,116,0,1,11.9,météo correcte
2009-06-14,25,17,8,19,25,19,0,98,6.5,1016,47.125,26,18,19,113,113,248,0,1,12.7,météo favorable
2009-06-15,27,19,9,20,27,20,0.7,96,7.125,1016,34.625,28,19,20,116,113,143,0,1,12.7,météo favorable
2009-06-16,24,17,7,21,24,17,0,97,8.75,1017,30.25,26,18,17,113,113,248,0,1,12.7,météo favorable
2009-06-17,24,16,9,20,24,18,0,96,7.75,1017,42.125,26,19,19,113,116,143,0,1,12.7,météo favorable
2009-06-18,28,16,7,21,28,19,0.2,99,7.375,1015,47,28,19,19,116,113,248,0,1,12.7,météo favorable
2009-06-19,26,18,9,21,26,20,0,97,6.5,1015,46.25,27,19,20,116,116,143,0,1,12.7,météo favorable
2009-06-20,26,18,7,21,26,20,0.6,97,6.375,1014,45.5,27,20,20,116,113,248,0,1,12.7,météo favorable
2009-06-21,26,17,6,20,26,19,0,94,8,1015,28.625,27,18,19,116,113,116,0,1,12.7,météo idéale
2009-06-22,23,17,5,20,23,17,0.1,98,6.25,1015,65.125,25,18,17,116,116,248,0,1,12.7,météo défavorable
2009-06-23,20,16,7,19,19,18,7,98,3.875,1016,83.75,20,18,18,119,143,248,0,1,9.2,météo défavorable
2009-06-24,27,17,7,20,27,17,0,97,8,1016,21.875,28,17,17,113,113,143,0,1,12.7,météo idéale
2009-06-25,27,17,10,21,27,20,0.1,99,6.5,1017,48.75,28,21,20,113,116,248,0,1,12.7,météo favorable
2009-06-26,20,18,3,20,20,18,1.3,99,1.625,1018,90.875,20,20,18,248,248,248,0,1,7.9,météo défavorable
2009-06-27,24,17,5,19,23,17,0,95,5.75,1018,53.25,26,19,17,143,116,143,0,1,12.7,météo favorable
2009-06-28,24,18,6,20,24,18,0,91,10,1018,45.75,26,18,18,116,116,116,0,1,12.7,météo favorable
2009-06-29,24,17,8,20,24,18,0,98,10,1016,40.75,26,18,18,116,116,116,0,1,12.7,météo favorable
2009-06-30,25,17,7,18,25,19,0,96,6.75,1016,41.25,26,18,19,116,116,143,0,1,12.7,météo favorable
2009-07-01,23,18,10,21,23,19,0,95,6.75,1016,48,25,20,19,113,116,143,0,1,12.7,météo favorable
2009-07-02,22,17,8,19,22,18,0.2,97,6.375,1017,34.125,25,18,18,116,116,143,0,1,12.7,météo favorable
2009-07-03,20,18,6,19,20,18,4.4,98,5.625,1016,43.75,20,19,18,116,143,143,0,1,11.9,météo correcte
2009-07-04,20,17,3,19,19,18,0,97,4.5,1016,70.5,20,19,18,119,248,143,0,1,10.5,météo défavorable
2009-07-05,25,16,8,19,25,18,0,99,5,1016,66.875,27,18,18,116,113,248,0,1,12.7,météo défavorable
2009-07-06,22,18,4,18,22,18,0.3,96,6.875,1017,50,25,18,18,116,116,143,0,1,12.7,météo favorable
2009-07-07,25,16,7,20,24,18,0,95,4.75,1016,51.75,27,19,19,116,116,143,0,1,12.7,météo favorable
2009-07-08,23,18,5,19,23,19,0,90,7.75,1016,57.125,25,18,19,116,116,116,0,1,12.7,météo correcte
2009-07-09,26,17,8,20,21,17,0,97,8.75,1017,44.5,27,18,18,113,116,248,0,1,12.6,météo favorable
2009-07-10,27,16,7,19,27,19,0,92,10,1017,17.875,28,18,19,113,116,113,0,1,12.6,météo favorable
2009-07-11,21,18,3,20,21,18,0,97,7.75,1018,53.625,24,20,18,119,116,248,0,1,11.9,météo favorable
2009-07-12,26,17,6,19,26,19,0,97,7,1018,41.125,27,20,19,119,116,143,0,1,12.6,météo favorable
2009-07-13,27,16,9,20,27,19,0,97,7,1017,22.375,28,19,19,113,113,143,0,1,12.6,météo idéale
2009-07-14,25,18,3,19,24,18,0.5,95,8,1019,53.5,27,18,18,116,116,143,0,1,12.6,météo favorable
2009-07-15,23,16,5,21,21,17,0.3,98,7.875,1017,45.625,25,19,17,113,122,113,0,1,11.9,météo correcte
2009-07-16,24,16,6,18,23,16,1.7,99,5.375,1017,47.75,26,20,16,143,113,248,0,1,11.9,météo favorable
2009-07-17,25,17,7,19,25,18,0,94,9,1017,41.25,26,18,19,116,116,143,0,1,12.6,météo favorable
2009-07-18,26,18,7,20,26,18,0,92,10,1018,30,27,17,19,116,116,116,0,1,12.6,météo favorable
2009-07-19,27,18,8,21,27,19,0,94,9,1017,34.375,28,18,19,116,116,143,0,1,12.6,météo favorable
2009-07-20,27,17,9,20,27,18,0,96,8,1015,26.5,28,18,18,116,116,143,0,1,12.6,météo favorable
2009-07-21,27,17,8,20,27,20,0,96,8,1015,30.875,28,20,20,116,113,143,0,1,12.6,météo favorable
2009-07-22,26,18,10,19,26,19,0,95,6,1016,40.75,27,19,19,116,116,143,0,1,12.6,météo favorable
2009-07-23,26,17,13,20,25,20,2.3,99,6.5,1015,50,27,21,20,116,116,248,0,1,12.6,météo favorable
2009-07-24,26,19,7,21,26,19,0,96,8,1016,32.5,27,18,19,116,116,143,0,1,12.6,météo favorable
2009-07-25,28,17,8,21,28,19,0,95,5.75,1017,27.875,29,18,19,113,113,143,0,1,12.6,météo idéale
2009-07-26,25,18,5,20,25,20,0.2,98,5.375,1018,68,27,19,20,119,119,248,0,1,10.5,météo défavorable
2009-07-27,28,18,6,20,28,18,0,98,4.5,1017,53.25,29,19,18,143,116,248,0,1,12.6,météo favorable
2009-07-28,25,18,6,21,25,19,0,97,7.75,1015,45.125,27,18,19,113,116,143,0,1,12.6,météo favorable
2009-07-29,20,17,6,20,19,18,3.8,97,5.125,1016,57.75,21,19,18,119,143,143,0,1,11.9,météo correcte
2009-07-30,27,17,6,19,27,18,0,95,6.75,1017,43.5,28,18,18,116,113,143,0,1,12.6,météo favorable
2009-07-31,24,18,7,20,22,18,0,95,8,1017,37.5,26,19,18,113,116,143,0,1,12.6,météo favorable
2009-08-01,26,16,9,20,26,17,0,97,7.5,1016,44.5,27,18,17,113,116,248,0,1,12.6,météo favorable
2009-08-02,27,18,6,21,27,18,0.1,98,9,1016,34,29,18,18,116,116,113,0,1,12.6,météo favorable
2009-08-03,28,19,6,21,28,20,0.2,97,7.75,1017,35.375,29,20,20,113,113,143,0,1,12.6,météo favorable
2009-08-04,26,19,5,22,24,20,0.1,86,9,1016,40.25,27,19,20,116,116,116,0,1,12.6,météo favorable
2009-08-05,27,19,6,20,27,20,0,90,10,1015,41.375,28,19,20,116,116,116,0,1,12.6,météo favorable
2009-08-06,24,18,8,20,24,20,0.7,99,6.5,1016,59.125,26,19,20,119,116,248,0,1,11.8,météo correcte
2009-08-07,26,18,4,19,25,18,0,99,7,1017,57,27,19,18,119,116,116,0,1,11.8,météo correcte
2009-08-08,22,17,6,21,21,18,1.7,97,4.375,1017,63.25,25,19,18,116,116,248,0,1,10.5,météo correcte
2009-08-09,26,17,7,19,26,19,0,98,9,1017,46.5,27,19,19,116,116,116,0,1,11.8,météo favorable
2009-08-10,29,18,8,21,29,20,0.1,95,7.75,1017,37.625,30,19,20,113,113,143,0,1,12.6,météo favorable
2009-08-11,26,19,8,21,26,20,0.5,97,8.875,1016,33.875,27,20,20,116,116,116,0,1,12.6,météo favorable
2009-08-12,25,18,8,20,25,18,0,91,10,1016,35.875,26,18,19,116,116,116,0,1,12.6,météo favorable
2009-08-13,26,19,7,21,26,19,0,96,7.75,1016,52.625,27,19,19,116,116,143,0,1,12.6,météo favorable
2009-08-14,27,17,7,19,27,18,0,97,4.75,1016,51.875,28,19,18,143,116,143,0,1,12.6,météo favorable
2009-08-15,27,18,6,20,27,19,0,97,8,1015,33.75,29,18,19,116,116,143,0,1,12.6,météo favorable
2009-08-16,29,16,8,21,29,21,0.2,95,6.625,1014,31.625,30,20,21,113,113,143,0,1,12.6,météo favorable
2009-08-17,27,18,10,22,27,21,0,98,5.25,1014,53.25,29,20,21,113,113,248,0,1,12.6,météo favorable
2009-08-18,26,19,9,22,25,19,0.2,92,7.875,1014,33.875,27,20,19,116,116,116,0,1,12.6,météo favorable
2009-08-19,28,17,9,22,28,20,0,93,10,1013,21.375,29,19,20,116,113,113,0,1,12.6,météo idéale
