DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,4,-1,10,0,1,1,1.4,94,8.125,1026,32.75,4,3,-4,113,116,113,,,,météo très défavorable
2009-01-02,1,-3,12,-4,-1,-1,0,67,9.625,1025,27.5,1,0,-6,113,116,113,,,,météo très défavorable
2009-01-03,-1,-4,11,-4,-2,-2,0.5,89,9.375,1022,49.75,0,0,-8,122,116,113,,,,météo très défavorable
2009-01-04,0,-7,11,-7,-4,-2,0,78,10,1023,3.75,0,0,-11,113,113,113,,,,météo très défavorable
2009-01-05,-1,-7,10,-7,-4,-3,0,44,10,1020,39.25,0,0,-11,122,116,116,,,,météo très défavorable
2009-01-06,-5,-7,18,-8,-5,-5,2.3,91,9.375,1017,68,0,0,-13,116,122,326,,,,météo très défavorable
2009-01-07,-5,-6,23,-7,-6,-6,2.5,92,9.375,1018,100,0,0,-14,122,326,326,,,,météo très défavorable
2009-01-08,-4,-8,10,-8,-7,-5,1.2,90,9,1025,48.125,0,0,-13,119,116,113,,,,météo très défavorable
2009-01-09,0,-7,6,-8,-3,-2,0,88,10,1027,23.75,0,0,-8,116,116,113,,,,météo très défavorable
2009-01-10,1,-5,6,-6,-2,0,0,71,10,1028,22.75,1,0,-8,116,113,113,,,,météo très défavorable
2009-01-11,3,-4,8,-4,-1,2,0,50,10,1031,0.75,3,0,-8,113,113,113,,,,météo très défavorable
2009-01-12,5,-3,10,-3,1,2,0,54,10,1031,4.25,5,0,-4,113,113,113,,,,météo très défavorable
2009-01-13,5,-1,14,-2,2,3,0,65,10,1024,11.25,5,0,-6,113,113,116,,,,météo très défavorable
2009-01-14,2,-1,17,-2,1,2,1.4,96,10,1018,65.25,2,1,-5,116,326,119,,,,météo très défavorable
2009-01-15,4,-2,6,-1,1,2,0.1,97,8.75,1020,45.75,4,0,-4,116,122,113,,,,météo très défavorable
2009-01-16,6,-1,14,-2,3,4,0,93,8.625,1024,12.75,6,3,-5,113,113,113,,,,météo très défavorable
2009-01-17,6,1,13,0,3,5,0,96,6,1024,40.125,6,4,-3,116,119,116,,,,météo très défavorable
2009-01-18,6,3,34,2,5,6,1.1,89,7.5,1021,46.5,6,4,-3,116,176,263,,,,météo très défavorable
2009-01-19,8,5,37,4,7,7,10.9,90,6.875,1016,72,8,6,-1,296,176,266,,,,météo très défavorable
2009-01-20,6,2,9,3,4,4,12.9,96,8.75,1002,52,6,3,-1,296,116,116,,,,météo très défavorable
2009-01-21,4,-1,7,-2,2,3,0.5,86,10,1012,46,4,0,-3,116,116,116,,,,météo très défavorable
2009-01-22,3,-2,19,-2,1,3,4.2,84,7.625,1014,53.875,3,1,-6,143,116,293,,,,météo très défavorable
2009-01-23,6,4,37,3,6,5,14.2,93,8.5,1001,65.25,6,5,-1,296,293,353,,,,météo très défavorable
2009-01-24,5,3,30,2,4,3,20.3,93,6.5,996,77.5,5,4,-2,320,116,302,,,,météo très défavorable
2009-01-25,6,-1,8,-1,3,4,2.6,95,6.5,1004,45.875,6,1,-4,260,116,113,,,,météo très défavorable
2009-01-26,2,0,14,-1,2,2,11,99,7.75,1004,94.625,2,2,-3,317,332,326,,,,météo très défavorable
2009-01-27,2,1,22,1,2,2,4.6,97,8.75,1015,99.375,2,1,-4,326,326,326,,,,météo très défavorable
2009-01-28,2,-1,17,0,1,1,1.7,92,7.875,1016,73,2,0,-5,119,122,116,,,,météo très défavorable
2009-01-29,3,-3,8,-3,0,2,0,91,6,1017,32.5,3,0,-6,143,113,113,,,,météo très défavorable
2009-01-30,6,-3,7,-3,1,4,0,81,10,1018,10.625,6,0,-4,113,113,113,,,,météo très défavorable
2009-01-31,6,-1,14,-1,3,4,0.3,93,8.75,1015,46.125,6,3,-5,116,116,119,,,,météo très défavorable
2009-02-01,5,1,11,1,2,5,6.1,96,7.875,1007,70.625,5,4,-1,266,296,116,,,,météo très défavorable
2009-02-02,5,3,15,2,4,4,9.2,92,7.5,998,80.625,5,3,-1,266,296,263,,,,météo très défavorable
2009-02-03,4,0,15,4,1,-1,38.9,98,5.25,1001,95.125,4,4,-4,296,320,338,,,,météo très défavorable
2009-02-04,8,2,23,1,5,7,5.1,95,8.5,1000,55.5,8,5,-1,326,116,113,,,,météo très défavorable
2009-02-05,8,6,25,5,7,7,4.3,91,8.375,998,62.125,8,6,2,116,353,266,,,,météo très défavorable
2009-02-06,7,5,10,4,7,7,23.7,97,4.625,995,85.125,7,7,2,266,389,389,,,,météo très défavorable
2009-02-07,3,0,10,-1,2,2,14.4,99,6.75,997,97.875,3,3,-2,332,317,332,,,,météo très défavorable
2009-02-08,0,-2,28,-1,-1,0,3.5,91,7.625,1011,73.625,0,0,-8,326,326,116,,,,météo très défavorable
2009-02-09,6,-1,16,-3,3,6,0.2,86,9.375,1013,45,6,4,-4,113,116,119,,,,météo très défavorable
2009-02-10,7,5,35,5,6,5,0.6,85,9.875,1016,43.25,7,4,-1,119,113,176,,,,météo très défavorable
2009-02-11,2,0,22,-1,2,2,6.1,95,7.125,1020,81.625,2,1,-4,368,332,116,,,,météo très défavorable
2009-02-12,1,-1,30,-2,0,0,9.5,96,7.125,1024,100,1,0,-6,326,332,326,,,,météo très défavorable
2009-02-13,1,-1,14,-2,0,0,4.6,96,7.125,1024,99.75,1,0,-5,332,143,326,,,,météo très défavorable
2009-02-14,-1,-1,25,-2,-1,-1,5.8,96,8.125,1027,99,0,0,-7,326,326,326,,,,météo très défavorable
2009-02-15,1,-2,18,-3,0,0,0.5,93,10,1029,58.5,1,0,-7,119,116,116,,,,météo très défavorable
2009-02-16,3,-3,14,-4,0,2,0.1,61,10,1028,56.875,3,0,-7,116,116,122,,,,météo très défavorable
2009-02-17,3,1,15,0,2,2,4.3,96,9.375,1027,100,3,2,-2,326,122,317,,,,météo très défavorable
2009-02-18,3,1,18,-1,2,2,7.4,99,8.25,1023,95.375,3,2,-4,296,326,122,,,,météo très défavorable
2009-02-19,2,-4,19,-4,-1,1,0,90,8.75,1029,36.25,2,0,-9,116,113,116,,,,météo très défavorable
2009-02-20,5,-3,13,-4,1,4,0,66,10,1031,6.75,5,0,-7,113,113,113,,,,météo très défavorable
2009-02-21,4,0,21,-2,2,4,1,98,9.875,1031,68.875,4,2,-6,119,326,116,,,,météo très défavorable
2009-02-22,5,1,13,0,3,4,1.3,95,7.875,1032,85.75,5,2,-3,122,122,263,,,,météo très défavorable
2009-02-23,4,3,19,2,4,4,5,97,7.125,1026,98.75,4,3,-1,317,317,266,,,,météo très défavorable
2009-02-24,4,3,23,2,4,4,4.5,97,8.125,1024,88.375,4,3,-2,317,317,116,,,,météo très défavorable
2009-02-25,7,0,10,0,3,6,0.3,92,10,1029,52,7,1,-3,122,116,113,,,,météo très défavorable
2009-02-26,11,1,9,0,7,8,0,76,10,1030,24.125,11,1,0,113,113,113,,,,météo très défavorable
2009-02-27,10,0,14,-1,5,8,0,88,9.625,1025,13.25,10,3,-4,113,113,113,,,,météo très défavorable
2009-02-28,13,2,17,0,8,12,0,84,7.375,1020,12.375,13,5,0,143,113,113,,,,météo correcte
2009-03-01,11,7,19,6,9,9,4.1,83,6.5,1014,65.875,11,6,3,116,263,266,,,,météo défavorable
2009-03-02,7,5,9,5,7,7,9.3,95,5,1019,99.625,7,6,4,296,266,266,,,,météo très défavorable
2009-03-03,8,3,11,2,5,8,0.4,90,8.375,1020,55.875,8,4,0,119,119,113,,,,météo très défavorable
2009-03-04,6,3,35,2,5,5,7.2,79,8.75,1009,51.875,6,3,-3,113,119,296,,,,météo très défavorable
2009-03-05,4,0,21,0,3,3,3.3,90,7.375,991,82.125,4,2,-2,143,119,122,,,,météo très défavorable
2009-03-06,5,2,35,0,4,4,1.9,87,9.875,1008,76.5,5,0,-5,326,326,116,,,,météo très défavorable
2009-03-07,6,-2,19,-2,2,5,0,95,9.625,1018,41,6,1,-7,116,119,113,,,,météo très défavorable
2009-03-08,10,3,5,3,6,10,0.9,91,7.875,1019,73.375,10,5,2,116,122,116,,,,météo très défavorable
2009-03-09,6,2,21,3,5,6,2.3,88,6.75,1023,51.375,6,4,-1,113,122,176,,,,météo très défavorable
2009-03-10,6,2,8,2,5,5,4.1,86,7.375,1024,69,6,3,0,116,116,296,,,,météo très défavorable
2009-03-11,7,4,19,3,6,6,3,93,6,1026,82.75,7,5,1,266,122,122,,,,météo très défavorable
2009-03-12,10,1,8,-1,6,9,0,88,6.625,1028,23,10,2,-2,260,113,113,,,,météo très défavorable
2009-03-13,13,3,8,0,9,11,0,91,9,1025,33.75,13,6,2,113,119,113,,,,météo correcte
2009-03-14,17,4,6,1,12,15,0,80,10,1022,45.5,17,7,3,113,116,113,,,,météo correcte
2009-03-15,11,6,20,7,8,11,0.3,87,9.375,1028,39.75,11,7,3,119,116,113,,,,météo défavorable
2009-03-16,11,4,15,4,8,10,0,91,9.625,1030,35.625,11,4,1,116,116,116,,,,météo très défavorable
2009-03-17,13,3,11,2,9,11,0,92,5.5,1030,42.75,13,5,1,248,113,113,,,,météo correcte
2009-03-18,14,5,11,5,9,12,0.1,94,8.75,1028,40.25,14,5,3,122,116,113,,,,météo correcte
2009-03-19,13,3,18,2,9,11,0,80,10,1023,6.25,13,3,0,113,113,113,,,,météo correcte
2009-03-20,7,1,34,1,5,5,0,81,10,1025,5.125,7,0,-4,113,113,113,,,,météo très défavorable
2009-03-21,7,-2,26,-4,3,7,0,71,10,1027,2.625,7,0,-7,113,113,113,,,,météo très défavorable
2009-03-22,10,0,23,-2,6,9,0,58,10,1028,3.25,10,1,-5,113,113,113,,,,météo très défavorable
2009-03-23,11,2,13,0,8,10,0,85,10,1028,31.125,11,3,-1,119,113,113,,,,météo très défavorable
2009-03-24,5,3,33,2,4,4,4.2,87,8.625,1018,59.625,5,1,-2,143,179,362,,,,météo très défavorable
2009-03-25,9,1,11,-1,7,7,0.7,84,8.25,1019,47.375,9,2,-1,116,116,116,,,,météo très défavorable
2009-03-26,12,3,9,2,8,10,1.6,87,8.75,1016,43.5,12,4,0,116,113,116,,,,météo très défavorable
2009-03-27,12,5,12,3,10,11,0.2,73,9.375,1014,31.625,12,5,2,116,116,113,,,,météo très défavorable
2009-03-28,8,7,18,6,8,6,16.9,91,7.75,1006,58.375,8,7,4,113,293,299,,,,météo très défavorable
2009-03-29,7,2,26,2,4,7,4.1,96,8,1009,80.625,7,3,-2,317,317,116,,,,météo très défavorable
2009-03-30,6,3,21,2,4,6,1.5,90,7.5,1017,90.625,6,3,-2,122,122,122,,,,météo très défavorable
2009-03-31,11,2,21,0,7,10,0,93,6.25,1018,50.375,11,4,-1,248,116,113,,,,météo très défavorable
2009-04-01,13,4,9,3,8,11,0.6,94,8,1013,75,13,7,1,266,122,119,,,,météo très défavorable
2009-04-02,13,5,8,4,10,12,1.8,89,8.875,1016,64.75,13,8,3,122,119,116,,,,météo correcte
2009-04-03,14,8,9,8,11,13,21.2,95,8,1021,60.125,14,9,7,302,293,200,,,,météo très défavorable
2009-04-04,15,6,10,4,11,14,1,95,6.875,1022,45,15,9,4,248,119,113,,,,météo correcte
2009-04-05,14,8,14,6,12,14,0.2,88,6.75,1023,61.5,14,9,6,248,116,116,,,,météo correcte
2009-04-06,18,8,18,6,15,16,0.6,88,7.875,1018,13.625,18,8,7,143,113,113,,,,météo favorable
2009-04-07,14,8,14,7,12,11,2.6,81,6.5,1016,60.375,14,8,6,116,263,266,,,,météo correcte
2009-04-08,15,8,8,6,12,13,1.4,94,7.625,1018,66.25,15,9,8,266,119,116,,,,météo défavorable
2009-04-09,17,7,14,4,14,15,0,88,7,1019,22.625,17,9,7,143,113,116,,,,météo correcte
2009-04-10,17,10,33,9,15,16,0,80,10,1014,15.125,17,8,8,113,113,113,,,,météo correcte
2009-04-11,15,10,12,9,14,12,1.4,80,9.125,1009,52,15,10,9,119,119,263,,,,météo correcte
2009-04-12,14,9,13,8,12,13,6.5,97,5.75,1010,80.875,14,12,8,266,266,266,,,,météo défavorable
2009-04-13,14,11,17,10,13,13,2.9,97,6,1011,80.375,14,12,9,266,266,116,,,,météo défavorable
2009-04-14,18,11,8,9,14,17,2.8,96,7.625,1010,59.375,18,11,10,266,119,176,,,,météo correcte
2009-04-15,16,10,35,8,15,14,0.1,72,10,1009,20,16,8,7,113,113,116,,,,météo correcte
2009-04-16,13,8,9,8,11,12,22.3,94,8.125,1009,63.625,13,8,7,302,176,353,,,,météo très défavorable
2009-04-17,14,7,5,3,13,12,9.1,85,8.625,1012,55.75,14,9,6,143,386,353,,,,météo correcte
2009-04-18,13,7,13,3,11,12,6.9,93,9.875,1015,59,13,8,6,353,353,386,,,,météo correcte
2009-04-19,14,7,13,5,12,12,4,95,7.5,1019,75.625,14,9,5,248,119,353,,,,météo défavorable
2009-04-20,13,11,18,9,13,13,26.2,98,7.5,1019,86.875,13,13,8,389,296,356,,,,météo très défavorable
2009-04-21,15,10,26,10,12,14,26.8,98,7.75,1019,77.125,15,12,7,353,353,356,,,,météo très défavorable
2009-04-22,17,9,26,8,14,16,3.4,88,10,1021,29.125,17,10,7,116,113,113,,,,météo correcte
2009-04-23,15,9,20,6,14,14,0,84,10,1022,15,15,8,6,116,113,113,,,,météo correcte
2009-04-24,17,7,8,3,14,16,0.6,79,8.875,1019,10,17,9,5,143,113,113,,,,météo correcte
2009-04-25,16,9,15,8,11,16,3.6,85,9.625,1014,46.875,16,10,7,113,296,119,,,,météo correcte
2009-04-26,13,10,10,9,12,12,20.3,96,8.25,1012,74.875,13,12,9,296,116,299,,,,météo très défavorable
2009-04-27,13,6,8,5,10,12,2.3,91,7.875,1010,56.625,13,9,5,248,113,116,,,,météo correcte
2009-04-28,13,8,9,5,11,12,0.4,77,9.75,1007,30,13,5,6,116,116,113,,,,météo correcte
2009-04-29,12,6,17,5,10,11,3.5,81,6.625,1016,61.375,12,5,4,263,353,176,,,,météo défavorable
2009-04-30,14,6,10,5,10,13,2.2,97,9,1018,57.5,14,7,5,353,143,113,,,,météo correcte
2009-05-01,14,8,22,5,13,13,0,88,9,1024,56.875,14,9,5,122,113,119,,,,météo correcte
2009-05-02,17,12,23,10,16,16,2.3,88,9.75,1026,47.875,17,12,10,116,119,176,,,,météo correcte
2009-05-03,17,11,18,9,15,16,1.5,92,9.625,1026,53.375,17,11,9,122,116,176,,,,météo correcte
2009-05-04,15,10,21,9,13,13,1.7,95,6.25,1025,74.25,15,9,8,143,263,116,,,,météo défavorable
2009-05-05,14,7,18,5,12,13,0,76,9.625,1026,32.75,14,9,5,113,116,116,,,,météo correcte
2009-05-06,18,9,11,6,15,18,0,92,6.75,1026,50.75,18,13,9,248,122,113,,,,météo correcte
2009-05-07,23,15,7,8,20,22,0,79,8,1021,5.75,25,13,16,143,113,113,,,,météo favorable
2009-05-08,19,14,14,11,19,15,20.5,84,8.875,1020,35.875,19,15,12,176,113,299,,,,météo très défavorable
2009-05-09,21,12,23,9,18,19,0.9,72,9,1020,20.125,23,11,10,113,113,116,,,,météo favorable
2009-05-10,20,12,16,11,13,20,6.4,85,9.375,1019,36,20,12,10,113,299,116,,,,météo correcte
2009-05-11,22,12,21,10,19,20,2.7,80,9.5,1017,27.375,25,12,11,176,353,113,,,,météo correcte
2009-05-12,22,16,15,14,21,21,5,74,8.625,1015,20.25,25,16,15,113,113,386,,,,météo favorable
2009-05-13,19,15,16,11,19,17,1.7,81,9,1016,28.75,19,14,14,113,116,176,,,,météo favorable
2009-05-14,17,12,14,10,16,15,8.1,88,8.875,1012,73.75,17,14,11,296,353,263,,,,météo défavorable
2009-05-15,13,10,5,10,11,13,19.8,96,8.125,1014,76,13,10,9,302,296,353,,,,météo très défavorable
2009-05-16,21,10,5,4,18,20,0.1,81,7.375,1016,13.125,23,13,10,143,113,113,,,,météo favorable
2009-05-17,21,15,28,11,19,20,1.1,63,10,1017,16.625,24,13,13,113,113,113,,,,météo favorable
2009-05-18,17,13,10,10,16,15,2.2,90,6.25,1020,55.125,17,12,12,248,116,263,,,,météo correcte
2009-05-19,23,14,7,8,20,21,0,81,8,1021,20.25,25,13,14,143,113,116,,,,météo favorable
2009-05-20,25,16,13,10,22,24,0.2,79,9,1021,7.25,26,16,16,143,113,113,,,,météo idéale
2009-05-21,24,17,21,14,23,19,0.4,65,9.375,1019,25.875,25,14,17,116,113,116,,,,météo idéale
2009-05-22,24,17,11,14,22,23,0.2,76,9.625,1017,11.5,25,18,17,113,113,113,,,,météo idéale
2009-05-23,26,18,14,13,20,26,1.7,85,6.5,1017,47.875,27,18,18,248,176,113,,,,météo favorable
2009-05-24,30,20,7,16,26,28,0.8,73,9.75,1020,21.5,31,18,20,176,113,113,,,,météo idéale
2009-05-25,27,19,17,16,25,25,0.2,59,10,1019,25.75,28,15,19,116,113,113,,,,météo idéale
2009-05-26,17,15,13,12,17,16,16.1,91,8,1021,52.375,17,16,15,113,356,176,,,,météo très défavorable
2009-05-27,16,9,19,8,13,15,1.3,75,9.125,1028,32.25,16,10,7,113,116,113,,,,météo correcte
2009-05-28,17,10,20,7,14,17,0.6,90,8.875,1029,45,17,13,8,143,119,113,,,,météo correcte
2009-05-29,21,13,21,11,17,20,0.4,91,9,1027,43.125,21,13,12,119,119,113,,,,météo correcte
2009-05-30,16,11,6,8,15,16,4.9,80,8.875,1018,39.375,16,15,11,113,116,353,,,,météo correcte
2009-05-31,18,13,11,10,16,18,23.7,97,8.375,1017,60.625,18,15,13,353,353,176,,,,météo très défavorable
2009-06-01,17,11,19,9,15,17,3.2,86,7.625,1017,43.375,17,13,9,248,113,116,,,,météo correcte
2009-06-02,21,14,23,11,19,21,5.3,84,9.375,1017,24.5,22,13,12,116,113,113,,,,météo favorable
2009-06-03,21,15,19,12,19,20,0.3,79,9.875,1017,12.125,24,13,14,113,113,113,,,,météo favorable
2009-06-04,20,13,14,10,18,19,0,80,10,1016,17.125,20,12,12,116,113,113,,,,météo favorable
2009-06-05,20,13,13,9,19,19,1.2,78,9.625,1012,47.375,20,15,13,116,116,200,,,,météo favorable
2009-06-06,19,13,15,12,17,18,5.9,80,9.125,1003,32.125,19,13,12,113,200,386,,,,météo correcte
2009-06-07,19,12,15,8,17,18,1.8,78,9.75,1010,38.25,19,10,11,113,353,176,,,,météo correcte
2009-06-08,20,14,26,10,19,19,3,75,9.875,1012,55.25,20,13,13,116,116,386,,,,météo correcte
2009-06-09,19,14,12,12,18,18,50.7,90,7.5,1016,58.875,19,14,14,308,353,386,,,,météo très défavorable
2009-06-10,22,13,16,9,19,21,0.2,77,10,1019,23,25,13,13,113,113,113,,,,météo favorable
2009-06-11,19,15,13,14,17,19,1.9,87,9.75,1023,39.5,19,13,15,176,353,113,,,,météo correcte
2009-06-12,21,14,9,9,19,21,0,79,9,1024,15.75,25,15,14,143,113,113,,,,météo favorable
2009-06-13,26,16,6,11,23,26,0,82,7.625,1022,16.375,27,18,16,248,113,113,,,,météo idéale
2009-06-14,27,19,8,15,26,22,5.4,70,9.625,1021,20.375,29,19,19,113,113,386,,,,météo favorable
2009-06-15,25,18,9,15,24,20,11.3,85,9.375,1021,43.625,27,18,18,176,113,353,,,,météo correcte
2009-06-16,20,15,11,15,18,19,8,92,7,1023,50.5,20,16,15,248,116,116,,,,météo correcte
2009-06-17,26,16,6,12,23,26,0,85,7.625,1023,30.875,27,19,16,248,113,113,,,,météo favorable
2009-06-18,26,20,6,16,25,25,20.8,83,8.25,1022,27.125,29,22,20,113,176,356,,,,météo très défavorable
2009-06-19,20,18,17,15,20,18,7.6,94,7.375,1021,65.25,20,19,18,248,353,353,,,,météo défavorable
2009-06-20,16,11,22,9,14,16,0.2,84,10,1022,51.75,16,9,9,116,122,116,,,,météo correcte
2009-06-21,16,10,21,9,14,16,0.4,86,10,1022,69.25,16,9,8,119,116,119,,,,météo défavorable
2009-06-22,17,11,23,10,14,16,2.9,94,8.875,1022,70.75,17,10,10,122,353,116,,,,météo défavorable
2009-06-23,18,11,30,8,15,18,0.1,84,10,1023,55,18,10,8,119,122,116,,,,météo correcte
2009-06-24,21,12,11,9,17,21,0,80,9.625,1016,12.75,23,15,11,113,113,113,,,,météo favorable
2009-06-25,25,18,7,12,24,23,1.7,81,7.125,1011,29.125,26,17,18,143,113,386,,,,météo idéale
2009-06-26,20,17,12,14,20,20,24.2,93,6.25,1013,42.25,20,18,17,248,356,356,,,,météo très défavorable
2009-06-27,21,15,16,13,19,21,1.7,92,6.25,1015,63.75,23,16,14,248,353,176,,,,météo correcte
2009-06-28,24,16,9,13,21,24,0.2,91,5.125,1016,57,26,18,16,248,116,116,,,,météo correcte
2009-06-29,26,19,12,16,24,25,0.2,86,6.625,1017,26.875,27,20,19,248,113,113,,,,météo idéale
2009-06-30,25,21,12,17,24,25,7.3,86,6.25,1019,38.375,27,21,21,248,113,386,,,,météo favorable
2009-07-01,26,21,13,18,25,26,3.3,87,9.625,1020,22.75,27,20,21,353,113,113,,,,météo favorable
2009-07-02,28,22,7,17,27,27,2.7,82,8,1019,15.25,29,20,22,143,113,386,,,,météo idéale
2009-07-03,25,19,12,16,23,24,7.6,86,8.75,1018,31.75,26,19,19,176,116,176,,,,météo favorable
2009-07-04,23,19,10,17,22,23,22.4,92,6.25,1015,47.625,25,20,19,353,353,356,,,,météo très défavorable
2009-07-05,22,19,11,16,22,22,22,91,6.875,1013,47.125,25,20,19,248,176,356,,,,météo très défavorable
2009-07-06,23,16,8,13,21,22,2.6,85,8.75,1014,27.5,25,16,16,143,116,116,,,,météo favorable
2009-07-07,19,15,10,12,19,19,3.7,84,8.75,1014,39.375,19,14,15,143,116,176,,,,météo favorable
2009-07-08,20,14,11,10,18,20,0.8,79,8.75,1018,38.375,20,12,13,143,116,116,,,,météo favorable
2009-07-09,19,14,13,11,18,19,0.4,77,9.875,1019,46.75,19,12,14,119,176,116,,,,météo favorable
2009-07-10,18,13,15,9,17,18,0,77,10,1020,50.5,18,11,12,116,119,119,,,,météo correcte
2009-07-11,22,14,8,9,19,22,0,77,9,1020,18.5,25,15,13,143,113,113,,,,météo favorable
2009-07-12,29,17,8,14,24,28,0,70,10,1016,21.5,29,19,17,116,113,116,,,,météo idéale
2009-07-13,28,20,22,16,26,27,0,75,10,1016,13,29,18,20,113,113,116,,,,météo idéale
2009-07-14,29,20,15,18,26,27,0.3,71,9.625,1015,23.5,30,18,20,116,116,113,,,,météo favorable
2009-07-15,24,19,7,17,21,24,12.8,94,6.625,1021,82.75,26,20,19,263,353,353,,,,météo défavorable
2009-07-16,30,21,8,15,28,29,1.4,86,8,1023,21.75,31,21,21,176,113,113,,,,météo idéale
2009-07-17,22,17,9,18,18,16,12.1,92,8.625,1017,54.5,24,17,17,353,353,176,,,,météo correcte
2009-07-18,18,12,16,10,16,18,0.2,74,10,1021,49.875,18,11,10,119,113,116,,,,météo favorable
2009-07-19,22,15,6,13,19,22,0.2,77,9,1022,53.125,23,14,15,113,116,116,,,,météo favorable
2009-07-20,27,17,5,12,24,26,0,75,10,1023,17,27,15,17,113,113,113,,,,météo idéale
2009-07-21,28,19,23,17,25,27,0.2,67,10,1019,18.75,28,16,19,116,113,113,,,,météo idéale
2009-07-22,28,19,31,17,25,27,1.3,64,9.75,1015,15.75,28,15,19,176,113,113,,,,météo idéale
2009-07-23,26,22,22,22,25,25,2.5,61,9.875,1015,23.25,27,18,22,113,113,353,,,,météo idéale
2009-07-24,23,17,12,13,22,18,5.1,80,9.25,1022,34.625,24,17,17,116,116,353,,,,météo favorable
2009-07-25,21,15,15,13,19,21,1.1,84,8,1026,31.25,23,12,15,176,116,113,,,,météo favorable
2009-07-26,26,15,6,10,22,25,0,80,7.625,1025,17.5,26,14,15,248,113,113,,,,météo idéale
2009-07-27,28,19,21,16,25,24,5.8,57,9.625,1019,15,29,18,19,113,113,386,,,,météo favorable
2009-07-28,24,16,10,13,21,24,3.9,86,7.75,1022,29.5,25,16,16,248,113,113,,,,météo favorable
2009-07-29,30,20,9,15,26,29,0,72,9,1020,1.875,30,15,20,143,113,113,,,,météo idéale
2009-07-30,22,17,14,15,20,22,0,79,10,1024,13.875,25,13,17,113,116,113,,,,météo favorable
2009-07-31,23,14,10,12,20,23,0,71,10,1024,15.25,25,14,14,113,113,113,,,,météo favorable
2009-08-01,29,18,19,13,25,28,0.1,67,10,1018,3,29,14,18,113,113,113,,,,météo idéale
2009-08-02,21,17,12,16,20,21,8.9,83,9.25,1017,36.75,23,15,17,299,116,176,,,,météo correcte
2009-08-03,19,13,14,10,17,19,0,73,10,1018,37.5,19,10,13,113,116,116,,,,météo favorable
2009-08-04,23,15,17,11,20,23,0,78,10,1020,17.25,25,13,14,116,113,113,,,,météo favorable
2009-08-05,27,17,8,13,23,26,0,77,9,1019,7.875,27,15,17,143,113,113,,,,météo idéale
2009-08-06,30,22,6,15,27,29,0.1,70,10,1018,28.75,30,16,22,116,113,113,,,,météo idéale
2009-08-07,24,19,12,16,23,22,2.3,82,8.125,1018,35.75,26,17,19,176,116,263,,,,météo favorable
2009-08-08,22,17,13,16,19,22,20.8,97,8.375,1019,64,23,19,17,353,356,356,,,,météo très défavorable
2009-08-09,22,18,12,16,22,21,5.8,91,7.125,1018,63.25,25,18,18,248,119,386,,,,météo correcte
2009-08-10,23,17,13,14,21,23,7.6,89,9.375,1020,53.125,25,16,16,353,353,113,,,,météo correcte
2009-08-11,24,16,13,13,21,23,0,77,10,1022,8.5,25,15,16,113,113,113,,,,météo idéale
2009-08-12,24,17,14,15,21,24,0.2,89,7,1023,44.625,26,16,17,248,116,113,,,,météo favorable
2009-08-13,27,18,12,14,24,26,0,80,9,1020,5.375,27,16,18,143,113,113,,,,météo idéale
2009-08-14,27,18,9,15,24,26,0,81,10,1018,7,27,16,18,113,113,113,,,,météo idéale
2009-08-15,32,20,7,16,27,30,0,74,9,1019,7.75,31,15,20,143,113,113,,,,météo idéale
2009-08-16,33,21,7,18,29,30,0.1,63,9.875,1019,12.375,33,15,21,113,113,113,,,,météo idéale
2009-08-17,30,22,9,18,28,27,0.9,65,9.625,1019,18.375,30,19,22,113,113,200,,,,météo idéale
2009-08-18,32,21,5,18,28,30,1.2,86,9.75,1020,18.125,34,20,21,176,113,113,,,,météo idéale
2009-08-19,34,22,6,18,29,32,0.2,57,10,1021,7.5,34,17,22,113,113,113,,,,météo idéale
2009-08-20,33,22,19,20,29,31,0,57,10,1021,7.625,32,13,22,113,113,113,,,,météo idéale
2009-08-21,24,19,12,18,21,22,0.7,93,7.375,1023,53.75,25,17,19,116,266,119,,,,météo correcte
2009-08-22,24,15,15,13,21,23,0,60,10,1023,8.625,25,14,14,113,113,113,,,,météo idéale
2009-08-23,26,15,8,12,21,26,0,75,10,1021,1.375,27,14,14,113,113,113,,,,météo idéale
2009-08-24,30,21,20,19,27,28,0.7,68,9.375,1015,10.625,30,17,21,113,113,113,,,,météo idéale
2009-08-25,20,18,8,16,20,19,10,83,9.25,1016,49.875,20,17,18,386,176,293,,,,météo correcte
2009-08-26,29,16,4,14,22,27,1.8,95,7.25,1017,58.125,29,17,16,248,116,116,,,,météo correcte
2009-08-27,29,17,6,14,25,27,0.5,76,9.875,1020,7.625,29,15,17,113,113,113,,,,météo idéale
2009-08-28,25,18,15,16,22,23,0,84,10,1019,21.125,26,16,18,113,116,113,,,,météo favorable
