DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,20,19,29,20,19,20,12.1,95,9,1019,100,20,19,19,122,122,122,0,1,4.2,météo défavorable
2009-01-02,20,20,21,20,20,20,8,94,9.375,1019,100,20,19,20,122,122,122,0,1,4.2,météo défavorable
2009-01-03,20,20,15,20,20,20,3.7,93,9.875,1018,93.625,20,19,20,122,122,119,0,1,4.2,météo défavorable
2009-01-04,21,20,12,20,21,20,2.4,92,10,1017,88,24,20,20,122,122,122,0,1,4.2,météo défavorable
2009-01-05,22,20,10,21,22,21,2,93,10,1016,74.25,25,20,21,119,119,122,0,1,4.2,météo défavorable
2009-01-06,22,21,17,21,22,21,4.6,94,10,1017,84.625,25,21,21,119,122,122,0,1,4.2,météo défavorable
2009-01-07,22,21,12,21,21,21,5.1,93,10,1019,67,24,20,21,116,119,116,0,1,4.2,météo défavorable
2009-01-08,20,19,21,20,20,20,6.2,93,10,1021,76.125,21,19,20,119,119,119,0,1,4.2,météo défavorable
2009-01-09,19,17,21,18,18,17,6.8,92,10,1023,93.25,19,18,17,119,119,122,0,1,4.2,météo défavorable
2009-01-10,17,16,19,16,17,16,2.4,88,9,1023,87.75,17,16,16,122,122,119,0,1,4.2,météo défavorable
2009-01-11,19,15,13,16,19,17,1,86,8,1022,75.75,20,14,16,119,116,122,0,1,7.2,météo défavorable
2009-01-12,19,17,14,17,19,18,2,89,8.875,1025,89.625,19,16,17,119,122,122,0,1,4.2,météo défavorable
2009-01-13,20,17,21,17,20,18,1.8,85,9.875,1026,71.625,20,15,18,116,119,119,0,1,5.7,météo défavorable
2009-01-14,18,17,18,17,18,18,3.9,89,10,1025,81,18,16,17,122,122,119,0,1,4.2,météo défavorable
2009-01-15,18,17,18,17,18,17,4.8,92,9.875,1025,92.75,18,16,17,122,122,122,0,1,4.2,météo défavorable
2009-01-16,18,18,14,18,18,18,7.6,93,9.625,1023,100,18,17,18,122,122,122,0,1,4.2,météo défavorable
2009-01-17,20,19,6,19,20,19,3.9,94,9.75,1020,93.375,20,19,19,122,122,119,0,1,4.2,météo défavorable
2009-01-18,24,17,9,18,24,18,0,94,10,1018,20.25,26,19,19,116,113,113,0,1,8.7,météo idéale
2009-01-19,24,16,9,18,24,17,0,92,10,1016,5.875,27,20,18,113,113,113,0,1,8.7,météo idéale
2009-01-20,24,17,9,18,24,19,0,93,10,1015,4,27,19,18,113,113,113,0,1,8.7,météo idéale
2009-01-21,24,16,12,19,24,20,0,92,8,1017,14.625,27,20,20,113,113,143,0,1,8.7,météo idéale
2009-01-22,23,19,12,20,23,20,0.3,93,8,1015,72.5,25,19,20,119,119,116,0,1,4.2,météo défavorable
2009-01-23,25,18,13,20,25,22,0.3,94,8,1016,51.75,26,20,20,116,116,116,0,1,8.7,météo favorable
2009-01-24,21,19,16,21,21,19,12.4,95,8.25,1019,95.5,21,20,20,122,122,122,0,1,4.2,météo défavorable
2009-01-25,19,19,8,19,19,19,7.7,96,7.5,1019,97,20,19,19,143,143,122,0,1,4.2,météo défavorable
2009-01-26,24,18,9,19,24,20,0.3,95,9.375,1017,50.125,26,19,20,116,113,116,0,1,7.2,météo favorable
2009-01-27,19,18,23,18,18,18,2.7,96,8.75,1017,99,19,19,18,122,122,122,0,1,4.2,météo défavorable
2009-01-28,23,18,11,18,23,19,0.2,93,9,1016,66.375,25,18,18,122,116,116,0,1,7.2,météo défavorable
2009-01-29,24,18,13,19,24,20,0.1,94,9,1016,36.375,26,20,20,143,113,119,0,1,8.7,météo favorable
2009-01-30,21,17,14,19,21,19,0.5,92,8,1016,72.625,24,19,20,122,119,116,0,1,4.2,météo défavorable
2009-01-31,23,14,9,17,23,17,0,88,10,1017,28.625,25,18,18,116,113,116,0,1,8.7,météo favorable
2009-02-01,23,16,11,19,23,17,0,88,10,1017,35.125,25,18,19,116,113,113,0,1,8.7,météo favorable
2009-02-02,24,17,10,18,24,20,0.1,90,9,1018,31.625,25,19,18,116,113,116,0,1,8.7,météo favorable
2009-02-03,23,18,8,19,22,20,0.4,93,8,1017,48.75,25,20,19,122,116,113,0,1,7.2,météo favorable
2009-02-04,24,18,11,19,24,18,0,92,9,1016,14.25,26,18,19,113,113,113,0,1,8.7,météo idéale
2009-02-05,23,17,7,18,23,18,0.2,92,8,1017,33.75,25,19,19,116,116,113,0,1,7.2,météo favorable
2009-02-06,22,16,13,19,22,20,1.9,94,9.875,1018,38,25,19,20,116,119,113,0,1,7.2,météo correcte
2009-02-07,24,16,9,19,24,18,0.7,94,8.75,1017,33.375,25,19,19,143,116,113,0,1,8.7,météo favorable
2009-02-08,24,15,13,19,24,19,0,92,10,1018,22.75,26,18,19,116,113,116,0,1,8.7,météo idéale
2009-02-09,23,19,14,19,23,20,0.1,92,9,1018,94.625,25,19,19,122,122,122,0,1,4.2,météo défavorable
2009-02-10,21,20,10,21,21,21,2.3,96,2.875,1017,92.125,24,20,21,143,143,143,0,1,4.2,météo défavorable
2009-02-11,25,19,10,20,25,21,0,91,9,1015,54.875,27,20,21,116,116,119,0,1,8.7,météo favorable
2009-02-12,27,21,12,21,27,23,0.1,88,10,1011,42.25,30,23,21,113,119,116,0,1,7.2,météo correcte
2009-02-13,30,22,10,23,30,24,0,88,10,1009,25.375,33,22,23,113,113,113,0,1,8.7,météo idéale
2009-02-14,29,23,12,23,29,24,0,81,10,1009,15.5,32,22,24,113,113,113,0,1,8.7,météo idéale
2009-02-15,29,23,15,24,29,25,0,83,10,1011,38,32,23,24,116,113,116,0,1,8.7,météo favorable
2009-02-16,28,23,14,24,28,24,0,85,10,1014,22.875,32,23,24,113,113,113,0,1,8.7,météo idéale
2009-02-17,27,21,15,22,27,22,0,92,6,1015,38.875,29,21,22,116,113,143,0,1,8.7,météo favorable
2009-02-18,23,22,5,22,23,23,4.2,97,4.5,1014,96.875,25,22,22,143,248,143,0,1,4.3,météo défavorable
2009-02-19,28,23,14,23,28,23,1.4,96,4.875,1013,46.25,32,24,23,143,113,143,0,1,8.7,météo favorable
2009-02-20,28,22,14,23,28,23,0.6,90,5.875,1015,32.125,31,23,23,113,116,143,0,1,8.7,météo favorable
2009-02-21,27,21,17,22,27,23,0,94,8,1015,54.125,29,22,22,119,116,116,0,1,7.2,météo favorable
2009-02-22,30,22,16,23,30,24,0,80,10,1011,6.25,33,23,23,113,113,113,0,1,8.7,météo idéale
2009-02-23,31,23,15,23,31,26,0,80,10,1012,5.25,35,22,24,113,113,113,0,1,8.7,météo favorable
2009-02-24,30,23,17,23,30,25,0,72,10,1012,6.5,33,22,23,113,113,113,0,1,8.7,météo idéale
2009-02-25,31,23,16,24,31,25,0,79,10,1011,5.5,34,22,24,113,113,113,0,1,8.7,météo idéale
2009-02-26,29,22,18,23,29,24,0,78,10,1013,5,32,22,23,113,113,113,0,1,8.7,météo idéale
2009-02-27,29,22,16,23,29,25,0,86,9,1013,15.5,32,22,23,113,113,113,0,1,8.7,météo idéale
2009-02-28,29,22,17,23,29,25,0.2,90,8,1014,22,32,22,23,116,113,116,0,1,8.7,météo idéale
2009-03-01,25,21,11,23,25,22,1.8,92,7.125,1015,40.5,28,23,23,263,116,143,0,1,8.7,météo favorable
2009-03-02,26,21,8,23,26,23,1.2,93,6.75,1015,44.625,28,22,23,119,116,116,0,1,8.7,météo favorable
2009-03-03,28,20,14,22,28,23,0,91,8,1015,28.25,30,21,23,116,113,113,0,1,8.7,météo idéale
2009-03-04,29,21,14,23,29,25,0,84,10,1012,30.375,32,23,23,116,116,116,0,1,8.7,météo favorable
2009-03-05,31,24,12,24,31,26,0.1,86,10,1011,25.75,35,23,24,116,113,113,0,1,8.7,météo favorable
2009-03-06,28,23,12,25,27,24,1.2,85,9.875,1013,49.375,33,25,25,116,116,119,0,1,5.8,météo favorable
2009-03-07,24,21,22,22,23,22,0.5,95,9,1016,83.875,26,21,22,119,122,119,0,1,4.3,météo défavorable
2009-03-08,29,21,12,22,29,23,0,90,9,1014,40,32,23,22,119,113,116,0,1,10.1,météo favorable
2009-03-09,26,22,12,24,24,22,2.1,94,9,1016,59.25,28,23,23,113,119,122,0,1,7.2,météo correcte
2009-03-10,29,21,15,22,29,24,0,92,8,1016,25.25,32,22,22,113,113,113,0,1,11.6,météo idéale
2009-03-11,31,23,17,24,31,26,0,78,10,1013,10.75,34,22,24,113,113,113,0,1,11.6,météo idéale
2009-03-12,31,23,16,24,31,26,0,71,10,1014,8.5,34,21,25,113,113,113,0,1,11.6,météo idéale
2009-03-13,31,23,16,24,31,24,0,75,10,1018,10.125,33,22,24,113,113,113,0,1,11.6,météo idéale
2009-03-14,22,18,22,19,18,18,10,94,8.375,1021,97,24,21,18,122,122,122,0,1,6,météo défavorable
2009-03-15,23,17,10,17,23,20,1.1,88,8,1019,85.75,25,19,17,119,122,119,0,1,6,météo défavorable
2009-03-16,27,20,15,20,27,22,0,89,10,1016,52.25,29,21,20,119,116,116,0,1,10.2,météo favorable
2009-03-17,28,20,16,22,28,23,0,85,9,1014,25.75,31,22,23,113,113,116,0,1,11.6,météo idéale
2009-03-18,30,22,14,24,30,25,0,84,9,1012,20.25,34,23,24,116,113,113,0,1,11.6,météo idéale
2009-03-19,31,23,16,24,31,26,0.3,81,9,1012,15.625,34,23,24,113,113,113,0,1,11.6,météo idéale
2009-03-20,31,22,17,24,31,25,0,86,8,1012,11.125,34,22,24,113,113,113,0,1,11.6,météo idéale
2009-03-21,31,22,16,24,31,26,0,80,10,1012,11.25,33,22,25,113,113,113,0,1,11.6,météo idéale
2009-03-22,33,24,12,25,33,25,0,78,10,1011,15.25,36,23,25,113,113,113,0,1,11.6,météo favorable
2009-03-23,33,24,11,25,33,26,1.5,84,10,1012,19,38,23,25,113,116,113,0,1,11.6,météo favorable
2009-03-24,33,24,9,26,33,25,1.9,82,9.875,1012,18.375,38,25,26,113,113,113,0,1,11.6,météo favorable
2009-03-25,25,22,9,24,24,24,2.3,93,9.75,1014,31.875,28,24,24,113,116,116,0,1,11.6,météo favorable
2009-03-26,29,22,10,24,29,24,1,86,9.875,1014,27.375,34,23,24,113,113,113,0,1,11.6,météo idéale
2009-03-27,32,23,12,24,32,24,0.2,84,8.875,1014,19.875,35,23,25,113,113,113,0,1,11.6,météo favorable
2009-03-28,33,24,10,24,33,25,0,78,10,1013,10.5,35,22,24,113,113,113,0,1,11.6,météo favorable
2009-03-29,33,24,12,26,33,26,0,71,10,1013,20.75,35,21,26,113,113,113,0,1,12.6,météo favorable
2009-03-30,29,22,12,23,29,23,1.4,88,7.875,1014,21.5,32,24,24,116,113,143,0,1,12.6,météo idéale
2009-03-31,26,22,12,24,26,23,4.1,91,6.625,1014,71.625,29,23,24,119,119,143,0,1,7.9,météo défavorable
2009-04-01,25,22,13,23,25,22,0,93,9,1016,79.25,28,22,23,119,119,119,0,1,7.9,météo défavorable
2009-04-02,26,22,8,23,26,23,2.5,92,9,1014,85,29,22,23,119,122,143,0,1,7.9,météo défavorable
2009-04-03,27,22,9,24,26,24,1.5,87,8,1014,57.125,29,23,24,116,116,116,0,1,12.6,météo correcte
2009-04-04,25,23,7,24,25,23,0,92,8,1015,42,28,23,24,116,122,143,0,1,11.8,météo correcte
2009-04-05,28,23,8,25,28,24,0,90,6,1014,43.375,32,24,25,116,116,143,0,1,12.6,météo favorable
2009-04-06,23,22,16,23,23,22,3.3,96,4.625,1014,94.5,26,23,22,143,122,143,0,1,7.9,météo défavorable
2009-04-07,25,22,14,22,25,23,1.3,96,7,1015,83.75,27,22,22,122,119,143,0,1,7.9,météo défavorable
2009-04-08,28,21,12,23,28,23,1,90,5.875,1014,34.75,31,23,23,116,116,143,0,1,12.6,météo favorable
2009-04-09,28,21,14,23,28,23,0.1,88,6,1014,45.875,31,23,24,116,116,143,0,1,12.6,météo favorable
2009-04-10,27,22,13,24,27,24,0.5,91,7,1013,52.875,31,23,24,119,116,113,0,1,11.9,météo favorable
2009-04-11,28,22,12,24,28,25,0,86,9,1013,37.875,31,23,24,116,116,116,0,1,12.7,météo favorable
2009-04-12,30,23,12,24,30,24,2,85,9.875,1012,47.125,34,24,24,116,113,116,0,1,12.7,météo favorable
2009-04-13,30,24,10,25,30,26,2.2,89,8.875,1009,51.75,35,25,25,116,119,116,0,1,11.9,météo correcte
2009-04-14,26,24,8,25,26,25,11,96,7.125,1009,70.5,29,24,25,143,116,143,0,1,10.6,météo défavorable
2009-04-15,29,24,7,25,26,24,33,95,6.25,1010,58.625,34,25,25,116,119,305,0,1,10.6,météo très défavorable
2009-04-16,33,23,6,26,33,27,0,83,9,1008,22.625,39,24,27,113,116,113,0,1,12.7,météo favorable
2009-04-17,34,25,10,26,34,26,0,79,10,1007,17.875,40,25,26,113,113,113,0,1,12.7,météo correcte
2009-04-18,34,25,7,27,34,27,0.3,80,9.625,1008,28.5,42,26,27,113,200,116,0,1,12.7,météo correcte
2009-04-19,35,25,7,28,35,29,0.1,78,9.875,1007,16.375,44,25,28,113,113,113,0,1,12.7,météo défavorable
2009-04-20,34,26,14,28,34,27,0,76,10,1007,18.875,39,24,28,113,113,116,0,1,12.7,météo favorable
2009-04-21,30,24,10,26,30,26,0.4,80,9.875,1008,20.25,35,24,26,113,116,113,0,1,12.7,météo favorable
2009-04-22,32,25,8,25,32,26,0,84,10,1009,25.875,37,24,25,113,116,116,0,1,12.8,météo favorable
2009-04-23,34,24,10,26,34,27,1.2,88,10,1009,25.75,41,25,26,113,116,113,0,1,12.8,météo correcte
2009-04-24,34,25,14,26,34,28,0,79,10,1009,12.5,39,24,26,113,113,113,0,1,12.8,météo favorable
2009-04-25,31,26,6,28,30,27,2.2,82,9.75,1012,27.125,38,26,28,113,116,113,0,1,12.8,météo favorable
2009-04-26,28,24,15,24,28,24,5.6,94,8,1013,70.625,31,24,24,143,119,116,0,1,9.3,météo défavorable
2009-04-27,29,23,11,24,29,25,0,90,9,1013,57.75,33,24,24,116,116,116,0,1,12.8,météo correcte
2009-04-28,26,23,8,25,26,24,2,91,8,1013,72.125,30,24,25,119,119,119,0,1,9.3,météo défavorable
2009-04-29,27,23,12,24,27,24,2.8,93,8.625,1013,61.5,30,23,24,116,116,143,0,1,11.9,météo correcte
2009-04-30,25,23,10,24,25,23,1.6,94,9,1013,77.125,28,23,24,119,119,143,0,1,8,météo défavorable
2009-05-01,26,23,12,24,26,24,9.7,93,7.25,1013,81.125,29,24,24,119,119,122,0,1,8,météo défavorable
2009-05-02,25,24,14,24,25,24,1.7,93,10,1014,75.75,28,23,24,119,122,116,0,1,8,météo défavorable
2009-05-03,28,22,15,25,28,23,0.7,88,9.875,1015,28.75,30,23,25,116,113,113,0,1,12.8,météo idéale
2009-05-04,26,21,12,23,26,24,0.5,86,9.875,1013,43.5,28,22,24,119,116,113,0,1,11.9,météo favorable
2009-05-05,26,22,18,23,26,24,0,89,10,1012,26.5,28,23,24,116,116,113,0,1,12.9,météo favorable
2009-05-06,29,22,18,24,29,24,0.3,87,9.875,1010,32.125,32,23,25,116,113,113,0,1,12.9,météo favorable
2009-05-07,29,22,13,25,29,25,1.4,84,9.875,1009,32.75,33,25,26,116,116,116,0,1,12.9,météo favorable
2009-05-08,28,24,12,24,28,25,2.5,94,8.75,1009,49,33,24,24,143,116,116,0,1,12.9,météo favorable
2009-05-09,30,24,15,26,30,26,1.1,84,9.875,1008,30.25,37,25,26,116,113,113,0,1,12.9,météo favorable
2009-05-10,30,25,16,26,30,26,0.1,82,10,1009,20.125,36,24,26,113,113,113,0,1,12.9,météo favorable
2009-05-11,29,25,15,27,29,26,2.9,82,9.75,1011,24.5,35,25,27,116,116,113,0,1,12.9,météo favorable
2009-05-12,30,25,14,26,30,26,1.9,85,9.875,1010,23.875,35,24,26,116,116,113,0,1,12.9,météo favorable
2009-05-13,30,24,12,26,30,26,1,83,9,1010,40.375,34,24,26,116,116,116,0,1,12.9,météo favorable
2009-05-14,29,25,13,25,29,26,1.8,90,8.875,1010,54.75,33,24,26,122,116,113,0,1,12.9,météo favorable
2009-05-15,29,24,14,25,28,26,0,87,10,1012,27.75,33,25,25,113,116,113,0,1,12.9,météo favorable
2009-05-16,31,24,16,26,31,27,0,82,10,1013,12.875,36,24,26,113,113,113,0,1,12.9,météo favorable
2009-05-17,32,24,12,26,32,26,0,80,10,1013,14,37,24,26,116,113,113,0,1,12.9,météo favorable
2009-05-18,32,25,14,27,32,27,0.3,79,9.875,1011,8.875,37,23,27,113,113,113,0,1,12.9,météo favorable
2009-05-19,32,25,10,27,32,27,0.6,80,10,1010,13.125,38,25,27,113,113,113,0,1,13,météo favorable
2009-05-20,33,25,9,27,32,26,3.6,89,9.625,1009,32.125,39,26,27,113,116,116,0,1,13,météo favorable
2009-05-21,31,25,8,26,31,26,6.1,90,9.625,1010,66.125,37,26,27,116,119,119,0,1,10.7,météo défavorable
2009-05-22,29,25,6,26,29,26,1,89,8.875,1009,60.25,35,25,26,116,116,116,0,1,13,météo correcte
2009-05-23,27,25,4,25,27,25,2.6,95,7.75,1007,46.875,33,25,25,143,116,116,0,1,13,météo favorable
2009-05-24,29,23,11,26,29,25,4.7,90,7.625,1007,30,35,26,26,116,116,113,0,1,13,météo favorable
2009-05-25,30,24,12,25,30,25,1.7,89,6.875,1008,22,35,25,25,116,113,116,0,1,13,météo favorable
2009-05-26,32,24,8,26,30,26,3,84,9.875,1007,33,39,26,27,116,116,116,0,1,13,météo favorable
2009-05-27,32,24,10,26,30,26,4.9,87,9.375,1008,42.875,38,26,26,116,200,116,0,1,13,météo correcte
2009-05-28,32,24,7,27,30,26,5.2,83,10,1009,41.375,39,27,27,119,113,116,0,1,11.9,météo favorable
2009-05-29,30,25,8,25,30,26,7.5,90,9.25,1011,49.375,37,26,25,116,116,116,0,1,13,météo favorable
2009-05-30,25,24,15,24,24,24,19.5,97,6.375,1011,85.125,29,25,24,122,122,116,0,1,8.1,météo très défavorable
2009-05-31,28,24,12,25,27,24,4.5,94,6.625,1010,53,33,26,25,116,119,143,0,1,12,météo correcte
2009-06-01,30,24,9,25,30,26,5.2,91,7.5,1008,43.25,37,26,25,116,200,143,0,1,13,météo correcte
2009-06-02,31,24,8,26,31,27,3.7,88,9.5,1006,36.625,42,28,26,116,200,116,0,1,13,météo correcte
2009-06-03,32,26,9,27,32,27,7.1,83,9.5,1005,36,40,27,28,116,116,116,0,1,13,météo correcte
2009-06-04,28,23,9,27,27,24,5.5,92,8.625,1006,54.625,32,25,26,116,119,143,0,1,10.7,météo correcte
2009-06-05,30,23,8,26,30,25,0.3,89,9.375,1007,53,36,25,26,116,116,116,0,1,13,météo favorable
2009-06-06,30,24,9,24,29,26,1.1,93,9.875,1007,45.5,36,25,24,119,116,116,0,1,12,météo favorable
2009-06-07,32,25,10,27,32,27,0,79,10,1006,21.25,38,24,27,113,116,113,0,1,13,météo favorable
2009-06-08,33,26,12,27,33,28,0.5,78,9.875,1007,26.125,40,26,27,113,113,200,0,1,13,météo correcte
2009-06-09,33,26,8,28,33,27,3.1,75,9.25,1009,39.75,40,27,28,113,200,200,0,1,13,météo correcte
2009-06-10,33,26,9,27,33,27,2.8,84,9.75,1008,34.5,41,27,27,116,113,200,0,1,13,météo correcte
2009-06-11,31,25,7,26,31,28,0,82,10,1009,33,37,25,27,116,113,116,0,1,13,météo favorable
2009-06-12,34,26,9,27,34,28,0,78,9.875,1009,36.375,41,26,27,113,116,116,0,1,13,météo correcte
2009-06-13,32,27,10,28,32,29,0,70,10,1009,34.5,40,25,28,116,116,113,0,1,13,météo correcte
2009-06-14,34,26,7,27,34,28,0,82,9.75,1008,40.5,41,27,27,116,116,200,0,1,13.1,météo correcte
2009-06-15,32,26,6,28,31,27,2,85,9.875,1005,37,44,29,28,116,113,200,0,1,13.1,météo défavorable
2009-06-16,31,25,9,26,31,27,2.2,89,10,1007,52.625,38,26,26,116,116,116,0,1,13,météo favorable
2009-06-17,31,25,7,26,31,27,0.6,82,10,1008,49,38,26,27,116,116,116,0,1,13,météo favorable
2009-06-18,28,25,13,25,26,26,0,91,10,1008,40.875,31,24,25,116,116,113,0,1,13.1,météo favorable
2009-06-19,30,25,12,26,30,28,0,76,10,1007,41.75,36,24,26,116,116,116,0,1,13.1,météo favorable
2009-06-20,34,26,9,27,34,28,2,84,9.75,1007,23.75,42,28,28,113,200,200,0,1,13.1,météo correcte
2009-06-21,31,26,11,27,31,28,0,76,10,1007,25.75,37,24,27,116,113,113,0,1,13,météo favorable
2009-06-22,31,26,12,26,30,29,0.2,81,9,1008,48.25,36,24,26,116,116,116,0,1,13,météo favorable
2009-06-23,33,26,9,26,33,27,1.6,82,9.75,1008,42,40,27,26,116,113,200,0,1,13.1,météo correcte
2009-06-24,34,25,7,27,34,27,1.6,81,9.875,1007,23.125,40,25,27,113,113,113,0,1,13.1,météo correcte
2009-06-25,35,25,9,27,35,27,0,80,9.875,1007,17,42,25,27,113,113,113,0,1,13,météo correcte
2009-06-26,34,26,10,28,34,30,0,76,9.875,1007,23.75,41,24,28,113,116,113,0,1,13,météo correcte
2009-06-27,32,26,7,27,31,27,2.2,75,9.875,1008,38.375,38,25,27,116,116,200,0,1,13,météo favorable
2009-06-28,33,26,10,26,33,27,0.1,81,9.875,1009,40,40,25,26,116,116,200,0,1,13,météo correcte
2009-06-29,33,26,11,26,33,27,0.8,78,10,1010,33.875,40,27,26,116,113,113,0,1,13,météo correcte
2009-06-30,33,25,10,27,33,28,2.6,79,9.75,1010,23.5,40,26,27,116,116,113,0,1,13,météo correcte
2009-07-01,32,25,11,27,31,27,3.3,82,9.75,1011,18.25,41,27,27,113,113,113,0,1,13,météo correcte
2009-07-02,32,25,9,27,32,28,0.9,81,9.75,1009,16.5,42,26,27,113,113,113,0,1,13,météo correcte
2009-07-03,33,26,9,27,33,27,2.2,80,10,1008,30.625,40,27,27,116,116,116,0,1,13,météo correcte
2009-07-04,30,24,9,27,30,25,0.2,85,10,1009,52.5,36,24,27,116,119,116,0,1,13,météo correcte
2009-07-05,28,24,12,24,28,25,0.4,90,9.375,1010,57.875,32,24,24,116,119,116,0,1,13,météo correcte
2009-07-06,27,24,7,24,26,26,12.1,95,8.25,1011,57.25,30,24,24,143,116,116,0,1,12,météo correcte
2009-07-07,29,24,13,24,29,26,0.2,86,9.875,1011,26.875,33,24,25,116,113,113,0,1,13,météo idéale
2009-07-08,32,25,8,26,32,26,2.3,82,9.75,1010,26.125,37,26,26,113,116,116,0,1,13,météo favorable
2009-07-09,32,24,7,26,32,26,2.6,86,9.75,1009,23.125,39,26,26,113,113,113,0,1,13,météo favorable
2009-07-10,33,24,7,26,33,27,0.5,87,9.875,1007,24.375,40,27,26,113,116,113,0,1,13,météo correcte
2009-07-11,34,25,7,27,34,27,0,81,10,1004,23.5,43,26,27,113,116,113,0,1,13,météo correcte
2009-07-12,31,25,7,27,29,26,3.3,85,9.5,1004,41.125,38,27,27,116,200,116,0,1,13,météo correcte
2009-07-13,29,25,7,26,28,27,6.4,88,9.625,1007,51,35,26,26,353,116,116,0,1,13,météo favorable
2009-07-14,31,25,11,26,30,26,4.1,90,9.375,1007,45.125,38,26,26,119,200,116,0,1,13,météo correcte
2009-07-15,30,25,11,26,30,25,2.1,90,9.75,1005,38.125,37,26,26,116,116,116,0,1,13,météo favorable
2009-07-16,31,25,9,26,31,26,3.2,86,10,1004,54.75,37,26,26,116,116,116,0,1,13,météo favorable
2009-07-17,31,24,13,25,30,26,8.6,87,9.625,1005,52.75,38,26,25,119,116,116,0,1,11.9,météo correcte
2009-07-18,30,24,9,26,30,26,6.2,84,9.625,1006,47,38,27,26,116,116,116,0,1,13,météo favorable
2009-07-19,32,25,11,27,32,28,0.4,79,9.875,1005,37.875,39,26,27,116,116,116,0,1,13,météo favorable
2009-07-20,28,26,9,27,27,27,3.5,86,9,1009,51.375,33,25,27,116,116,116,0,1,13,météo favorable
2009-07-21,30,25,6,26,30,26,3.5,94,9.875,1009,41.375,37,26,26,116,116,116,0,1,13,météo favorable
2009-07-22,30,25,8,26,30,27,2.8,92,8.5,1007,30.75,37,27,26,116,200,113,0,1,13,météo correcte
2009-07-23,31,25,12,26,31,26,4.5,88,9.625,1007,36,39,27,26,116,113,116,0,1,13,météo favorable
2009-07-24,33,24,13,27,33,27,1.1,80,9.75,1007,31.875,40,25,27,113,116,116,0,1,13,météo correcte
2009-07-25,33,26,7,28,33,27,3.4,78,9.625,1008,18.75,41,27,28,113,113,113,0,1,12.9,météo correcte
2009-07-26,34,26,8,26,34,27,0,78,9.875,1007,18.875,42,26,27,113,116,113,0,1,12.9,météo correcte
2009-07-27,34,26,6,28,34,28,0.6,76,9.75,1006,20.5,42,25,28,113,113,113,0,1,12.9,météo correcte
2009-07-28,33,26,10,27,33,28,3.8,76,9.5,1008,31.125,40,26,27,113,113,116,0,1,12.9,météo correcte
2009-07-29,31,26,13,27,30,27,0.9,79,9.25,1008,48.625,36,24,27,116,119,116,0,1,12.9,météo correcte
2009-07-30,30,25,11,26,30,27,0.4,82,10,1007,43,35,23,26,116,116,116,0,1,12.9,météo favorable
2009-07-31,31,24,11,25,31,27,2.7,85,9.625,1004,60.875,36,24,25,119,116,119,0,1,10.6,météo correcte
2009-08-01,30,25,8,26,29,26,2.1,85,10,1004,53,35,26,26,116,119,116,0,1,12.9,météo correcte
2009-08-02,30,25,6,26,30,27,0,84,10,1004,48,35,26,26,116,116,119,0,1,12.9,météo favorable
2009-08-03,28,25,9,25,28,26,1,91,8.875,1004,54.375,34,25,25,119,116,116,0,1,11.9,météo favorable
2009-08-04,33,26,8,27,33,28,0.4,82,9.875,1003,31.625,42,26,27,116,116,113,0,1,12.9,météo correcte
2009-08-05,33,25,11,26,33,29,2.5,83,9.25,1003,36.625,42,26,26,116,116,113,0,1,12.9,météo correcte
2009-08-06,33,27,9,28,33,29,0,79,10,1003,27.5,41,26,28,113,116,116,0,1,12.9,météo correcte
2009-08-07,28,26,17,27,28,26,0.7,84,9,1002,58,32,24,27,116,119,116,0,1,9.3,météo correcte
2009-08-08,30,25,18,26,30,27,0.5,83,9.375,1001,48,34,24,26,116,116,116,0,1,12.9,météo favorable
2009-08-09,27,26,18,26,26,27,4.1,87,9.625,1002,52.125,31,23,26,116,116,116,0,1,10.6,météo favorable
2009-08-10,30,26,15,27,30,28,0,78,10,1006,32,35,24,27,116,116,113,0,1,12.8,météo favorable
2009-08-11,33,26,9,27,33,26,4.1,80,9.5,1007,42.625,41,26,28,113,119,119,0,1,11.9,météo correcte
2009-08-12,33,25,10,26,33,27,6.7,91,9.25,1008,34.5,41,27,26,113,116,200,0,1,12.8,météo correcte
2009-08-13,31,25,7,26,31,26,3.6,91,9.375,1009,39.125,40,27,26,116,200,113,0,1,12.8,météo correcte
2009-08-14,32,25,9,26,31,26,1.7,87,9.875,1012,21.5,41,27,26,116,200,113,0,1,12.8,météo correcte
2009-08-15,32,25,6,27,32,27,4.3,82,9.5,1012,22.375,40,26,27,113,200,200,0,1,12.8,météo correcte
2009-08-16,31,24,9,26,31,27,2.5,88,9.625,1012,24.5,37,26,26,116,113,113,0,1,12.8,météo favorable
2009-08-17,32,25,14,26,32,27,0,83,10,1012,11.5,37,24,26,113,113,113,0,1,12.8,météo favorable
