DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,19,13,2,13,18,14,4,99,4.875,1013,76.25,19,16,14,248,116,248,0,1,10.2,météo défavorable
2009-01-02,17,12,3,12,16,13,2,100,4,1014,85.875,17,15,14,248,116,248,0,1,7.4,météo défavorable
2009-01-03,18,12,2,14,18,13,3.5,100,4.875,1014,84.875,18,16,14,248,122,248,0,1,7.4,météo défavorable
2009-01-04,19,12,3,12,19,14,7.2,100,5.5,1014,78.125,20,16,15,248,116,248,0,1,8.8,météo défavorable
2009-01-05,19,13,3,13,18,14,12.8,100,5.375,1014,86.5,19,16,14,248,119,248,0,1,7.4,météo défavorable
2009-01-06,18,13,6,13,17,14,7.1,100,5.125,1013,79.75,19,16,14,248,116,248,0,1,8.8,météo défavorable
2009-01-07,18,12,4,13,18,14,9.3,100,4.5,1014,82.625,19,16,15,248,116,248,0,1,8.8,météo défavorable
2009-01-08,19,13,4,13,19,14,6.4,100,4.125,1014,76.625,20,15,14,248,116,248,0,1,8.8,météo défavorable
2009-01-09,17,12,3,13,17,14,6.2,100,5.75,1015,78.875,17,16,14,119,116,248,0,1,8.8,météo défavorable
2009-01-10,20,13,3,13,20,14,4.4,100,4.875,1014,77,20,16,14,248,116,248,0,1,10.2,météo défavorable
2009-01-11,19,12,3,12,19,14,8.1,100,4.25,1014,83,19,16,15,248,116,248,0,1,8.8,météo défavorable
2009-01-12,18,12,3,12,18,14,6.2,100,6.25,1014,78.625,18,15,14,248,119,122,0,1,7.4,météo défavorable
2009-01-13,18,12,4,12,18,14,5.4,99,4.75,1015,90.875,18,15,15,248,119,248,0,1,6,météo défavorable
2009-01-14,19,13,3,13,19,14,6.1,100,4.5,1015,75.875,20,15,14,248,116,248,0,1,10.2,météo défavorable
2009-01-15,16,13,5,13,16,13,3.7,100,4.625,1015,88,16,15,13,248,116,248,0,1,7.4,météo défavorable
2009-01-16,18,8,6,12,16,13,7.5,100,3.25,1016,95.125,18,16,13,248,248,248,0,1,6,météo défavorable
2009-01-17,15,12,6,12,15,13,5.9,100,3.625,1017,94.25,15,14,13,248,143,248,0,1,6,météo défavorable
2009-01-18,19,11,6,11,17,14,4.1,100,5.75,1017,73.875,20,16,14,143,200,248,0,1,7.4,météo défavorable
2009-01-19,16,12,7,13,15,13,3.3,100,3.75,1016,83.625,16,15,13,248,143,248,0,1,7.4,météo défavorable
2009-01-20,17,10,5,11,17,14,3.6,100,6.125,1016,76.375,18,15,14,248,116,248,0,1,8.8,météo défavorable
2009-01-21,17,13,5,13,17,14,6.1,100,6.875,1016,86.25,17,16,15,122,116,248,0,1,7.4,météo défavorable
2009-01-22,16,13,6,13,15,13,7.2,100,3.5,1016,94.5,16,15,13,248,248,248,0,1,6,météo défavorable
2009-01-23,15,12,5,13,15,14,10.5,100,3.375,1016,93.25,15,15,14,248,143,248,0,1,6,météo défavorable
2009-01-24,14,12,6,13,14,12,16.7,100,3.125,1015,91.375,14,14,12,248,248,248,0,1,6,météo très défavorable
2009-01-25,15,11,5,11,15,13,2.1,100,4.375,1014,85.125,15,14,14,248,119,248,0,1,7.4,météo défavorable
2009-01-26,18,12,5,12,17,14,3,100,5,1014,81.375,18,16,14,248,116,248,0,1,8.8,météo défavorable
2009-01-27,21,12,1,12,21,14,3.8,100,5.75,1015,69.75,25,16,14,248,113,119,0,1,10.2,météo défavorable
2009-01-28,18,11,6,12,18,14,9.4,100,5.5,1014,80.125,19,16,14,248,116,248,0,1,8.8,météo défavorable
2009-01-29,17,13,4,13,17,14,18.9,100,6,1015,88.875,17,15,14,248,116,248,0,1,7.4,météo très défavorable
2009-01-30,16,12,3,13,16,14,11.6,100,6.5,1016,79,17,15,15,119,116,248,0,1,8.8,météo défavorable
2009-01-31,14,13,4,13,14,13,14.9,100,3.75,1016,100,14,14,13,248,248,248,0,1,6,météo défavorable
2009-02-01,17,11,4,12,17,14,8.7,100,4.75,1014,82.5,17,16,14,248,116,248,0,1,8.8,météo défavorable
2009-02-02,16,12,4,12,16,14,4.4,100,4.875,1013,79.125,16,15,14,248,116,248,0,1,8.8,météo défavorable
2009-02-03,20,12,3,12,20,14,8,100,4.25,1014,78.875,21,16,15,248,116,248,0,1,10.2,météo défavorable
2009-02-04,18,13,3,13,18,14,5.6,100,4.75,1015,83.25,19,16,15,248,119,248,0,1,7.4,météo défavorable
2009-02-05,19,13,5,13,19,14,3.5,100,3.375,1015,77.75,19,16,15,248,116,248,0,1,10.2,météo défavorable
2009-02-06,21,12,4,12,21,15,1.9,99,3.75,1015,75,24,16,15,248,113,248,0,1,10.2,météo défavorable
2009-02-07,19,13,3,13,19,15,13.3,100,4,1015,88.25,20,16,16,248,116,248,0,1,7.4,météo défavorable
2009-02-08,17,13,4,13,17,14,12.8,100,4.5,1014,89.625,17,16,15,248,119,248,0,1,6,météo défavorable
2009-02-09,16,13,4,13,16,14,4,100,4.125,1014,88,17,16,15,119,143,248,0,1,6,météo défavorable
2009-02-10,17,14,5,14,17,14,6.7,100,4.625,1013,91.875,18,16,15,248,116,248,0,1,7.4,météo défavorable
2009-02-11,18,13,3,13,17,14,8.8,100,3.375,1014,86.25,19,17,15,248,143,248,0,1,7.4,météo défavorable
2009-02-12,17,13,3,13,17,14,3.1,100,4,1015,91.5,17,15,14,248,116,248,0,1,7.4,météo défavorable
2009-02-13,18,11,7,12,17,14,6.9,100,4.5,1014,89.5,19,16,14,248,119,248,0,1,7.4,météo défavorable
2009-02-14,17,12,6,12,15,13,5.1,100,3.5,1013,95.125,17,15,14,248,143,248,0,1,6,météo défavorable
2009-02-15,18,11,8,12,15,13,4.2,100,2.875,1014,83,19,15,13,143,143,248,0,1,7.4,météo défavorable
2009-02-16,14,10,4,10,14,12,0,99,1.5,1015,86.25,14,13,12,248,116,248,0,1,8.8,météo défavorable
2009-02-17,18,9,5,11,17,13,2,100,5,1014,86,19,15,14,248,119,248,0,1,7.4,météo défavorable
2009-02-18,19,11,5,11,19,14,12.3,100,4.125,1013,79.625,20,17,15,248,200,248,0,1,8.8,météo défavorable
2009-02-19,16,13,5,13,16,14,14.6,100,5,1013,95.25,16,15,14,248,143,248,0,1,6,météo défavorable
2009-02-20,18,13,3,13,18,14,6.5,100,4.75,1012,84.375,18,15,14,248,116,248,0,1,8.8,météo défavorable
2009-02-21,17,13,3,13,16,14,6.9,100,6.875,1013,80.875,18,15,14,248,116,122,0,1,8.8,météo défavorable
2009-02-22,17,13,5,13,15,13,4,100,3.75,1015,84.875,18,15,13,248,143,248,0,1,7.4,météo défavorable
2009-02-23,19,8,7,12,19,13,5.1,99,7.125,1015,59.375,20,15,14,248,113,248,0,1,10.2,météo correcte
2009-02-24,18,12,6,13,18,14,6.6,100,6,1014,85,18,17,14,122,200,248,0,1,7.4,météo défavorable
2009-02-25,17,13,7,13,17,14,6.9,100,4.875,1013,82.125,18,16,14,248,116,248,0,1,7.4,météo défavorable
2009-02-26,18,13,6,14,18,14,7.4,100,5.75,1013,84.375,18,17,14,248,116,248,0,1,7.4,météo défavorable
2009-02-27,17,10,3,13,17,14,7.5,100,5.375,1013,89.875,18,17,15,248,116,122,0,1,7.4,météo défavorable
2009-02-28,18,13,1,13,18,14,14,100,6.25,1013,83.875,19,16,15,248,116,356,0,1,7.4,météo défavorable
2009-03-01,15,14,5,14,15,14,13.9,100,3.125,1014,95.125,16,15,14,248,248,248,0,1,6,météo défavorable
2009-03-02,16,12,3,13,16,14,6.1,100,4.125,1015,88.5,16,15,14,248,143,248,0,1,7.4,météo défavorable
2009-03-03,17,13,3,14,17,14,5.2,100,4.125,1014,88.75,18,16,14,248,116,248,0,1,7.4,météo défavorable
2009-03-04,19,12,2,13,19,14,4.1,100,3.75,1015,85.125,20,16,14,248,116,248,0,1,7.4,météo défavorable
2009-03-05,21,12,4,13,21,14,6.3,100,6.75,1014,66,24,16,15,248,113,122,0,1,10.2,météo défavorable
2009-03-06,20,13,4,13,20,14,7.4,100,4.625,1014,71.875,21,16,15,248,200,248,0,1,8.8,météo défavorable
2009-03-07,19,13,4,13,19,14,5.1,100,7.25,1015,73.75,20,16,15,143,116,122,0,1,8.8,météo défavorable
2009-03-08,20,13,3,13,20,14,2.9,100,6.125,1014,70.75,20,15,14,248,116,248,0,1,10.2,météo défavorable
2009-03-09,20,13,5,13,18,14,6,100,5.75,1014,86.375,21,16,15,248,122,248,0,1,7.4,météo défavorable
2009-03-10,17,13,5,14,17,14,9.2,100,5.5,1013,92.625,18,17,14,248,143,248,0,1,6,météo défavorable
2009-03-11,15,14,7,14,14,14,11,100,3.125,1013,99.875,15,15,14,248,248,248,0,1,6,météo défavorable
2009-03-12,15,12,9,13,15,14,5.3,100,3,1014,92.125,15,15,14,248,248,248,0,1,7.4,météo défavorable
2009-03-13,18,12,7,12,18,13,1.8,100,4.25,1014,73.125,18,14,13,143,116,248,0,1,8.8,météo défavorable
2009-03-14,19,10,4,12,16,14,3.8,100,7,1015,74.125,20,16,14,248,116,248,0,1,8.8,météo défavorable
2009-03-15,16,13,3,13,16,14,7.8,100,2.875,1015,94.75,17,16,14,248,143,248,0,1,6,météo défavorable
2009-03-16,16,13,1,13,16,14,7.2,100,6,1016,89.625,16,15,14,248,143,122,0,1,7.4,météo défavorable
2009-03-17,15,13,4,13,15,14,7.4,100,3.125,1014,100,15,15,14,248,248,248,0,1,6,météo défavorable
2009-03-18,17,13,3,13,17,14,8.2,100,4.625,1013,92.875,17,16,14,248,200,122,0,1,6,météo défavorable
2009-03-19,14,13,3,13,14,14,19.3,100,3.75,1013,96.625,15,14,14,248,248,248,0,1,6,météo très défavorable
2009-03-20,14,13,3,13,14,14,12.7,100,4,1014,99.625,15,15,14,248,248,248,0,1,6,météo défavorable
2009-03-21,18,12,4,14,18,14,16.5,100,4.125,1013,86.75,19,16,15,248,200,248,0,1,7.4,météo très défavorable
2009-03-22,15,13,3,13,15,14,13.8,100,3.125,1013,98,16,15,15,248,248,248,0,1,6,météo défavorable
2009-03-23,15,12,4,13,15,14,9.4,100,4.125,1014,98.75,16,15,15,248,248,248,0,1,6,météo défavorable
2009-03-24,16,13,3,13,16,14,9.6,100,4.5,1013,88.875,17,16,14,248,119,248,0,1,7.4,météo défavorable
2009-03-25,14,13,5,13,14,14,21.8,100,3.25,1014,100,15,15,14,248,248,248,0,1,6,météo très défavorable
2009-03-26,14,13,5,13,14,13,8.4,100,4.25,1013,100,15,14,14,248,248,248,0,1,6,météo défavorable
2009-03-27,18,12,4,13,16,14,8.3,100,3,1014,94.625,19,16,14,248,248,248,0,1,7.4,météo défavorable
2009-03-28,16,13,5,13,16,14,5.3,100,3.875,1015,92.625,16,15,14,248,143,248,0,1,6,météo défavorable
2009-03-29,16,12,6,12,16,13,4.4,100,3.25,1015,82.625,17,15,14,248,116,248,0,1,8.8,météo défavorable
2009-03-30,16,12,4,12,16,14,8.4,100,5.625,1015,81.625,17,15,14,248,116,248,0,1,7.4,météo défavorable
2009-03-31,14,11,5,13,14,12,12.8,100,4.125,1016,95.25,14,14,12,248,248,248,0,1,6,météo défavorable
2009-04-01,18,10,8,10,18,13,6.6,100,5.125,1015,73.875,19,14,13,143,116,248,0,1,8.8,météo défavorable
2009-04-02,17,12,7,12,16,14,4.9,100,4.125,1015,84.375,17,15,14,248,116,248,0,1,8.8,météo défavorable
2009-04-03,16,12,8,13,15,13,6.7,100,3.25,1014,96.875,16,15,13,248,248,248,0,1,6,météo défavorable
2009-04-04,16,12,3,12,16,14,5.9,100,4.875,1015,88.125,17,16,14,248,119,248,0,1,6,météo défavorable
2009-04-05,19,12,4,13,19,14,3.9,100,4.625,1014,79.875,20,16,14,248,116,248,0,1,8.8,météo défavorable
2009-04-06,21,12,3,14,21,14,4.4,99,4.875,1015,71.5,25,15,15,248,113,248,0,1,10.2,météo défavorable
2009-04-07,16,12,6,14,16,13,3.3,100,5.25,1016,88.125,16,15,14,248,116,248,0,1,7.4,météo défavorable
2009-04-08,15,12,4,13,15,13,5.4,100,2,1017,94.5,15,15,14,248,248,248,0,1,6,météo défavorable
2009-04-09,19,12,3,13,16,14,6.2,100,4.125,1016,82.75,19,16,14,248,143,248,0,1,7.4,météo défavorable
2009-04-10,17,12,4,12,17,13,1.1,100,2.75,1017,83.375,17,14,13,248,116,248,0,1,7.4,météo défavorable
2009-04-11,18,11,4,12,17,14,8.2,100,4.5,1016,85.25,18,16,14,143,119,248,0,1,7.4,météo défavorable
2009-04-12,16,12,4,12,16,14,9.8,100,4.625,1016,86.125,16,15,15,248,143,248,0,1,7.4,météo défavorable
2009-04-13,16,12,3,12,16,14,3.2,100,5.375,1015,84.5,16,15,14,248,116,248,0,1,7.4,météo défavorable
2009-04-14,16,13,2,13,16,14,7.2,100,4.375,1016,100,16,16,14,248,248,248,0,1,6,météo défavorable
2009-04-15,16,13,3,13,16,14,6,100,5,1016,90.625,16,16,14,293,122,248,0,1,6.1,météo défavorable
2009-04-16,18,12,6,12,18,14,7,99,4.875,1016,80.25,19,17,15,248,116,356,0,1,7.4,météo défavorable
2009-04-17,21,10,6,11,21,15,4.8,100,3.875,1015,68.625,24,16,15,143,113,248,0,1,8.8,météo défavorable
2009-04-18,20,11,5,12,20,15,2.5,99,5,1013,76.25,21,16,15,248,116,248,0,1,8.8,météo défavorable
2009-04-19,21,11,7,12,21,15,3.1,99,4.875,1013,64,25,17,15,143,113,248,0,1,12.1,météo correcte
2009-04-20,17,12,5,13,17,14,2.3,99,4.375,1014,79.5,18,16,15,248,116,248,0,1,10.3,météo défavorable
2009-04-21,18,11,6,13,18,14,5,99,5,1016,78.625,18,15,14,143,116,248,0,1,10.3,météo défavorable
2009-04-22,22,11,5,12,22,14,4.5,100,7,1016,62,25,16,14,143,113,122,0,1,12.5,météo correcte
2009-04-23,18,14,3,14,18,14,4.4,100,4.875,1016,85.875,19,16,14,248,119,248,0,1,10.5,météo défavorable
2009-04-24,18,13,3,14,18,14,1.8,99,5.25,1015,81.5,19,15,14,248,119,248,0,1,9.2,météo défavorable
2009-04-25,19,11,4,12,19,15,2.9,99,4.25,1015,76.25,20,16,15,143,116,248,0,1,10.5,météo défavorable
2009-04-26,18,12,5,13,18,13,1.8,97,4.75,1015,73.5,18,14,14,248,116,248,0,1,11.8,météo défavorable
2009-04-27,20,11,6,13,20,14,2.2,99,6.625,1014,54.625,20,15,15,116,116,248,0,1,12.5,météo favorable
2009-04-28,19,12,5,14,19,14,3.7,100,5.75,1015,64.25,20,16,15,116,116,248,0,1,11.8,météo correcte
2009-04-29,20,11,3,12,17,14,15.4,100,3,1015,88.625,21,17,15,248,143,248,0,1,9.2,météo défavorable
2009-04-30,15,13,3,14,15,13,19.9,100,2.625,1016,100,15,15,13,248,248,248,0,1,7.8,météo très défavorable
2009-05-01,18,12,3,13,17,14,25.1,100,4.125,1017,87,19,17,14,248,200,248,0,1,9.2,météo très défavorable
2009-05-02,15,13,5,14,15,14,12.3,100,3.75,1016,100,15,15,14,248,248,248,0,1,7.8,météo défavorable
2009-05-03,14,12,4,13,14,13,20.8,100,4.75,1018,95.75,15,14,13,122,248,248,0,1,7.8,météo très défavorable
2009-05-04,18,11,7,13,16,14,15.4,100,4.75,1016,84.5,18,16,14,248,143,356,0,1,9.2,météo défavorable
2009-05-05,20,9,6,11,20,14,4,100,4.625,1015,78.5,20,16,15,248,113,248,0,1,10.5,météo défavorable
2009-05-06,18,13,3,13,18,14,10.3,100,5.5,1015,81.125,18,16,15,248,116,356,0,1,10.5,météo défavorable
2009-05-07,19,13,4,14,19,14,8.4,100,5.5,1015,88.75,19,16,14,248,200,248,0,1,7.8,météo défavorable
2009-05-08,21,12,6,12,21,14,7.5,100,5.625,1015,71.75,24,17,15,248,113,248,0,1,10.5,météo défavorable
2009-05-09,21,11,6,12,21,14,3.5,99,4.625,1015,74.125,25,16,15,248,113,248,0,1,10.5,météo défavorable
2009-05-10,21,13,7,13,21,14,3.6,99,6,1014,74.625,25,16,14,248,113,248,0,1,10.5,météo défavorable
2009-05-11,18,10,5,12,18,13,2.9,100,6.75,1014,59.25,18,15,13,116,116,248,0,1,12.5,météo correcte
2009-05-12,19,10,4,11,19,14,7.8,100,5.75,1014,71.5,20,16,15,143,116,248,0,1,10.5,météo défavorable
2009-05-13,17,13,3,13,17,14,9,100,4.375,1014,82.25,18,16,14,248,116,248,0,1,10.5,météo défavorable
2009-05-14,19,13,4,13,18,14,4,100,4.375,1014,82.5,19,16,15,248,200,248,0,1,10.5,météo défavorable
2009-05-15,20,12,3,13,18,14,4.1,100,4.5,1014,82,21,17,15,248,200,248,0,1,10.5,météo défavorable
2009-05-16,19,13,4,13,18,14,5.4,100,4.375,1013,86.75,19,16,15,248,200,248,0,1,10.5,météo défavorable
2009-05-17,17,14,4,14,17,15,7,100,4.875,1014,96.125,18,17,15,248,143,248,0,1,7.8,météo défavorable
2009-05-18,17,13,3,14,17,14,3.3,100,5,1014,85.625,18,16,16,248,116,248,0,1,9.2,météo défavorable
2009-05-19,20,13,7,13,18,13,2.1,96,5.375,1015,68.375,21,16,13,143,200,143,0,1,10.5,météo défavorable
2009-05-20,17,12,9,13,16,13,1.6,99,6.125,1015,66.25,17,14,14,116,119,248,0,1,10.5,météo défavorable
2009-05-21,19,11,4,12,19,14,1.9,99,6.75,1015,58.875,19,16,15,116,116,248,0,1,12.5,météo correcte
2009-05-22,20,11,4,12,20,14,3.5,99,6,1016,67.75,21,17,15,116,200,248,0,1,11.8,météo défavorable
2009-05-23,19,11,5,12,19,14,2.8,99,6.25,1016,79.125,19,16,15,248,116,248,0,1,10.5,météo défavorable
2009-05-24,19,11,4,12,19,14,2.4,100,3.875,1017,76.75,19,15,14,248,116,248,0,1,11.8,météo défavorable
2009-05-25,19,11,5,11,19,14,2.7,100,5,1016,82,19,16,15,248,116,248,0,1,10.5,météo défavorable
2009-05-26,23,10,4,10,23,13,2.2,100,6.125,1016,62.875,25,14,13,248,113,119,0,1,11.8,météo correcte
2009-05-27,20,13,4,13,19,14,5.7,100,5.625,1015,73.25,20,17,15,248,200,248,0,1,10.5,météo défavorable
2009-05-28,20,12,3,12,20,14,7.8,100,6.875,1015,77,21,17,15,248,200,122,0,1,10.5,météo défavorable
2009-05-29,16,13,4,13,15,13,10.9,100,3.125,1017,91.875,16,15,13,248,248,248,0,1,9.2,météo défavorable
2009-05-30,17,12,3,12,17,14,4.8,100,4.625,1016,89.875,18,16,14,248,116,248,0,1,9.2,météo défavorable
2009-05-31,18,13,4,13,18,13,3.8,99,5.125,1016,75.25,19,16,14,248,116,248,0,1,11.8,météo défavorable
2009-06-01,22,11,7,12,22,13,2.1,100,4,1015,64.375,25,16,14,143,113,248,0,1,12.6,météo correcte
2009-06-02,22,11,9,13,22,14,0.5,96,6.875,1015,38.375,25,14,14,116,113,143,0,1,12.6,météo favorable
2009-06-03,20,11,11,13,20,13,5.4,99,8.375,1014,48.5,20,15,13,113,116,248,0,1,11.8,météo favorable
2009-06-04,17,11,10,13,17,12,2.4,97,4.125,1016,64.625,18,13,12,143,116,248,0,1,12.6,météo correcte
2009-06-05,20,10,4,12,18,14,3.3,100,6.375,1017,64.5,20,16,14,116,116,248,0,1,11.8,météo correcte
2009-06-06,18,11,8,11,18,13,2.2,99,5.625,1017,74.125,18,15,13,248,116,248,0,1,11.8,météo défavorable
2009-06-07,19,11,6,12,19,13,3.1,99,4.625,1016,75.625,19,15,13,248,116,248,0,1,10.5,météo défavorable
2009-06-08,20,11,6,12,20,13,1.3,98,4,1015,71.375,20,15,14,143,113,248,0,1,11.8,météo défavorable
2009-06-09,19,10,5,12,19,14,3.3,100,6.375,1016,56.875,19,16,14,116,116,248,0,1,12.6,météo correcte
2009-06-10,19,10,4,12,19,14,4.1,99,5.875,1016,71.875,19,16,14,116,116,248,0,1,11.8,météo défavorable
2009-06-11,16,11,8,11,16,13,4,100,4.25,1017,81.375,16,15,12,248,116,248,0,1,10.5,météo défavorable
2009-06-12,17,11,8,12,17,13,1.5,99,4.25,1016,79.625,17,13,13,248,116,248,0,1,10.5,météo défavorable
2009-06-13,19,12,7,12,19,13,4.4,99,5.75,1017,68.75,20,14,14,143,116,248,0,1,11.8,météo défavorable
2009-06-14,15,12,4,12,15,13,3.8,100,2.75,1017,94,15,15,14,248,248,248,0,1,7.9,météo défavorable
2009-06-15,16,11,2,12,16,13,4,100,4.25,1016,83.125,17,15,14,248,116,248,0,1,9.2,météo défavorable
2009-06-16,19,12,5,13,19,14,3.1,99,4.375,1016,81.25,19,16,14,248,116,248,0,1,9.2,météo défavorable
2009-06-17,20,10,9,11,20,12,0.7,99,3.875,1016,64.375,21,13,13,143,113,248,0,1,12.2,météo correcte
2009-06-18,20,11,5,12,20,14,2.8,99,7.75,1015,54.75,20,15,14,116,116,248,0,1,12.2,météo favorable
2009-06-19,19,11,6,12,19,14,3.3,99,6.75,1014,59.25,20,15,15,116,116,248,0,1,11.7,météo correcte
2009-06-20,18,12,5,12,18,14,2,99,5.875,1014,70.625,19,15,15,143,116,248,0,1,12.2,météo défavorable
2009-06-21,19,11,3,12,19,14,4,100,4.75,1015,72.75,20,16,14,143,116,248,0,1,10.4,météo défavorable
2009-06-22,16,12,5,12,16,13,9,100,4.625,1015,80,16,15,13,248,116,248,0,1,8.8,météo défavorable
2009-06-23,18,12,3,13,17,14,3.9,100,5.75,1016,86.125,18,16,14,248,200,122,0,1,7.5,météo défavorable
2009-06-24,16,12,7,12,15,12,2,98,2.75,1017,86.875,16,14,13,248,143,248,0,1,7.5,météo défavorable
2009-06-25,22,9,5,11,22,13,4.6,99,6.125,1016,53,25,16,14,113,113,248,0,1,8.8,météo favorable
2009-06-26,19,10,8,12,19,14,2.3,96,5.5,1016,61.125,19,15,14,143,116,143,0,1,11.6,météo correcte
2009-06-27,20,12,8,13,20,13,1.5,94,7.25,1017,44.5,20,14,13,116,116,143,0,1,11.6,météo favorable
2009-06-28,19,11,8,13,19,12,1.3,99,8,1017,49.25,19,13,13,116,116,248,0,1,10.2,météo favorable
2009-06-29,20,10,4,12,20,14,3.2,100,7.375,1016,51.75,21,15,14,116,116,248,0,1,8.8,météo favorable
2009-06-30,20,12,6,12,20,13,2.7,99,6.25,1015,70,20,15,14,248,113,248,0,1,10.2,météo défavorable
2009-07-01,17,10,6,12,15,12,1.2,98,5.375,1016,67.75,18,13,12,116,119,248,0,3,7.5,météo défavorable
2009-07-02,17,10,9,12,17,12,1.2,98,6,1016,50.75,17,12,12,116,116,248,0,3,10.2,météo correcte
2009-07-03,20,10,6,11,20,13,2.8,100,6.625,1016,52.875,21,15,14,116,113,248,0,3,10.2,météo favorable
2009-07-04,20,11,6,11,20,12,2.7,100,3.75,1015,77.75,20,15,12,248,113,248,0,3,8.8,météo défavorable
2009-07-05,20,10,4,11,19,13,3.1,100,4.875,1016,66.625,20,15,14,143,116,248,0,3,10.2,météo défavorable
2009-07-06,21,11,8,11,21,13,2,99,5.25,1016,66.5,24,15,14,143,113,248,0,3,10.2,météo défavorable
2009-07-07,19,11,7,12,19,13,2.4,98,6.625,1015,54.5,20,15,14,116,116,248,0,3,10.2,météo favorable
2009-07-08,19,11,9,12,19,12,3,96,6.625,1016,56.625,20,13,13,248,116,143,0,3,11.6,météo correcte
2009-07-09,20,11,7,12,20,12,2,99,8.5,1016,46.5,20,13,12,116,113,248,0,4,10.2,météo favorable
2009-07-10,18,8,5,11,17,8,2.9,100,5.875,1017,68.125,18,13,9,248,116,116,0,3,11.6,météo défavorable
2009-07-11,20,8,6,10,20,13,1.5,97,6.75,1016,42.75,21,14,14,113,116,143,0,3,10.2,météo favorable
2009-07-12,22,10,9,11,22,12,1.9,98,8.75,1016,35.625,25,13,13,116,113,176,0,3,11.6,météo favorable
2009-07-13,22,10,9,11,22,13,1.1,99,7.625,1016,42.625,25,14,13,113,113,248,0,3,10.2,météo favorable
2009-07-14,20,12,10,13,20,13,1,88,9.75,1017,27.875,20,12,13,113,113,113,0,4,11.6,météo favorable
2009-07-15,23,11,9,13,23,13,0.7,94,10,1016,29.875,24,12,13,113,113,116,0,5,11.6,météo favorable
2009-07-16,23,11,9,12,23,13,1,96,8.875,1016,26.5,25,14,14,113,113,143,0,5,11.6,météo favorable
2009-07-17,23,11,10,12,23,14,0.4,93,9.75,1015,22.875,25,13,14,113,113,116,0,5,11.6,météo favorable
2009-07-18,16,12,10,13,16,13,2,88,9.75,1017,30.625,16,13,12,113,116,113,0,4,11.6,météo correcte
2009-07-19,21,12,7,13,21,13,1.7,95,9,1016,32.75,24,14,13,113,113,143,0,4,11.6,météo favorable
2009-07-20,20,10,5,12,19,14,3.5,100,7.375,1015,55.25,20,16,14,113,116,248,0,3,8.8,météo correcte
2009-07-21,19,11,4,11,17,14,2.4,100,5.25,1015,77.25,20,15,14,116,119,248,0,3,7.5,météo défavorable
2009-07-22,19,12,4,12,18,14,4.3,100,4.625,1015,85.125,19,15,14,248,116,248,0,3,7.5,météo défavorable
2009-07-23,21,11,6,11,21,13,1.8,99,6.125,1015,67.75,21,14,14,248,116,248,0,4,10.2,météo défavorable
2009-07-24,18,12,7,13,17,13,1.3,94,6.625,1015,49.75,19,13,13,116,116,116,0,3,11.6,météo favorable
2009-07-25,21,11,9,13,21,12,0.3,95,7.375,1016,34.5,24,12,13,116,113,143,0,4,11.6,météo favorable
2009-07-26,24,11,9,12,24,13,0.2,96,8,1016,24.75,25,13,14,113,113,143,0,5,11.6,météo favorable
2009-07-27,23,11,11,12,23,14,0.1,90,10,1016,24.25,24,12,14,113,113,116,0,5,11.6,météo favorable
2009-07-28,22,11,14,12,22,13,0.6,93,9.875,1015,25.375,24,12,13,116,113,113,0,4,11.6,météo favorable
2009-07-29,18,10,10,12,18,13,0.1,82,10,1016,23.875,19,11,13,113,116,113,0,4,11.6,météo favorable
2009-07-30,20,10,10,11,20,12,0.3,93,9.875,1017,18.875,20,11,12,113,113,113,0,4,11.6,météo favorable
2009-07-31,23,10,8,11,23,13,0.9,97,8.875,1017,35.875,25,13,14,116,113,143,0,4,11.6,météo favorable
2009-08-01,23,11,8,12,23,14,1.7,94,9.875,1015,32.625,25,14,14,116,113,116,0,1,11.6,météo favorable
2009-08-02,22,10,10,12,22,14,0.7,91,9.75,1015,28.875,25,13,14,113,113,116,0,1,11.6,météo favorable
2009-08-03,22,11,12,13,22,13,0.4,90,10,1016,22.5,24,12,13,113,113,113,0,1,11.6,météo favorable
2009-08-04,23,12,10,13,23,14,0.5,83,10,1015,20.125,25,12,15,116,113,113,0,1,11.6,météo favorable
2009-08-05,18,12,9,13,17,14,1.8,90,10,1015,35.75,18,13,14,113,116,116,0,1,11.6,météo favorable
2009-08-06,16,12,8,12,16,13,2.3,99,8.5,1015,48.375,16,14,14,116,116,248,0,1,10.2,météo correcte
2009-08-07,16,12,6,13,16,13,3.4,97,6,1016,63.75,16,14,14,143,116,248,0,1,10.2,météo correcte
2009-08-08,20,11,4,12,20,14,5,98,6.25,1017,57.5,21,15,14,116,116,248,0,1,10.2,météo correcte
2009-08-09,18,11,8,12,16,12,1.1,96,5.375,1017,48.5,18,13,13,143,116,143,0,1,11.6,météo favorable
2009-08-10,21,10,12,12,21,12,0.4,96,8,1017,26,24,12,13,113,113,143,0,1,11.6,météo favorable
