DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,20,14,3,14,20,15,7.1,99,8.25,1013,66.625,20,17,16,116,116,248,0,1,10.2,météo défavorable
2009-01-02,17,14,4,15,17,15,4,99,2.625,1014,88.875,17,17,16,248,143,248,0,1,6,météo défavorable
2009-01-03,20,14,4,15,20,15,6.7,100,7,1014,66.75,20,18,16,248,116,248,0,1,8.8,météo défavorable
2009-01-04,20,13,5,14,20,16,6.7,99,4.5,1014,72.875,20,17,16,248,113,248,0,1,10.2,météo défavorable
2009-01-05,19,15,3,15,19,15,11.9,99,6.25,1014,61.75,19,17,16,143,116,248,0,1,8.8,météo correcte
2009-01-06,19,13,5,15,18,15,6.9,99,5.75,1013,75.25,20,17,15,248,116,248,0,1,8.8,météo défavorable
2009-01-07,18,14,6,15,18,15,8.8,100,4.5,1014,76.375,19,17,16,248,116,248,0,1,8.8,météo défavorable
2009-01-08,18,14,4,14,18,15,9.6,99,4.625,1014,72.375,19,17,15,248,116,248,0,1,8.8,météo défavorable
2009-01-09,17,14,5,14,17,15,8.8,99,2.875,1015,84.625,17,17,15,248,143,248,0,1,6,météo défavorable
2009-01-10,20,14,4,14,20,15,5,99,5.75,1015,67.125,20,17,16,248,113,248,0,1,10.2,météo défavorable
2009-01-11,19,13,2,15,19,15,5.4,99,5.375,1014,65.75,19,17,15,248,113,248,0,1,8.8,météo défavorable
2009-01-12,19,14,2,15,18,15,9.2,99,4.875,1013,76.625,19,16,16,248,116,248,0,1,8.8,météo défavorable
2009-01-13,19,14,5,15,18,15,8.7,99,6.125,1015,73.75,19,17,16,116,116,248,0,1,8.8,météo défavorable
2009-01-14,19,15,4,15,19,15,9,99,5.375,1015,76.375,20,17,15,248,116,248,0,1,10.2,météo défavorable
2009-01-15,17,14,6,14,17,15,9.5,99,6.5,1015,73.375,17,16,15,116,143,119,0,1,6,météo défavorable
2009-01-16,18,14,7,15,18,15,13,99,3.75,1016,78.125,18,17,15,248,143,248,0,1,8.8,météo défavorable
2009-01-17,15,14,4,14,15,14,11.9,99,4.375,1018,79.625,15,15,15,248,248,248,0,1,7.4,météo défavorable
2009-01-18,18,13,5,14,18,15,7.5,99,5.25,1017,76,18,17,15,248,119,248,0,1,7.4,météo défavorable
2009-01-19,16,14,6,14,16,15,7.4,99,4.25,1017,87.25,16,16,15,248,248,248,0,1,6,météo défavorable
2009-01-20,18,13,5,14,18,15,4.4,99,4.75,1017,75.375,18,16,15,248,116,248,0,1,8.8,météo défavorable
2009-01-21,19,14,6,14,19,15,8.7,99,6,1016,72.5,19,17,15,248,116,248,0,1,8.8,météo défavorable
2009-01-22,17,14,8,14,17,15,12.3,99,4,1016,87.25,17,16,15,248,143,248,0,1,6,météo défavorable
2009-01-23,16,14,3,14,16,15,9.6,100,4.375,1016,81.125,16,16,15,248,248,248,0,1,7.4,météo défavorable
2009-01-24,16,13,5,14,16,14,18.4,99,3.875,1016,85.25,16,16,14,248,248,248,0,1,6,météo très défavorable
2009-01-25,17,13,4,13,16,15,8.4,99,5.625,1014,80,17,16,15,248,116,248,0,1,10.2,météo défavorable
2009-01-26,19,14,6,14,19,15,8,99,4.375,1014,74.375,19,16,15,248,116,248,0,1,10.2,météo défavorable
2009-01-27,21,14,4,15,21,16,4.4,96,6.25,1015,53.375,21,17,16,248,113,143,0,1,11.6,météo favorable
2009-01-28,19,13,8,13,19,15,9.6,98,4.25,1014,75.125,20,16,15,248,116,248,0,1,8.8,météo défavorable
2009-01-29,18,14,6,14,17,15,9.8,99,6.625,1016,75.75,18,16,15,248,116,248,0,1,7.4,météo défavorable
2009-01-30,18,14,5,14,17,15,8.2,99,4.75,1016,79,18,16,15,248,116,248,0,1,8.8,météo défavorable
2009-01-31,16,14,3,14,16,14,16.4,100,3.75,1016,93.375,16,16,14,248,248,248,0,1,6,météo très défavorable
2009-02-01,19,12,4,13,19,15,10.4,99,4.25,1014,79.125,19,17,16,248,119,248,0,1,8.8,météo défavorable
2009-02-02,20,13,6,14,18,15,6.8,99,4.625,1013,75.875,20,17,15,248,116,248,0,1,8.8,météo défavorable
2009-02-03,20,14,4,15,20,15,10.3,99,5.5,1015,67.125,20,17,16,248,113,248,0,1,10.2,météo défavorable
2009-02-04,20,15,4,15,20,15,8.2,99,5.375,1015,69.875,20,17,16,143,116,248,0,1,10.2,météo défavorable
2009-02-05,20,15,4,15,19,16,5,99,5.25,1015,67.5,20,17,16,248,116,248,0,1,10.2,météo défavorable
2009-02-06,21,13,5,13,21,16,3.6,98,4.625,1015,66.625,24,17,16,248,113,248,0,1,10.2,météo défavorable
2009-02-07,18,14,4,16,18,16,11.5,99,6.125,1015,76.875,19,17,16,248,116,248,0,1,7.4,météo défavorable
2009-02-08,16,15,5,15,16,15,10.1,100,6.5,1014,77,16,16,15,119,248,248,0,1,6,météo défavorable
2009-02-09,18,14,5,15,18,16,9.3,99,4.75,1014,76,18,17,16,248,116,248,0,1,8.8,météo défavorable
2009-02-10,19,14,5,14,19,16,9.9,99,4.25,1013,72.625,19,17,16,248,116,248,0,1,10.2,météo défavorable
2009-02-11,18,15,4,15,18,16,12.7,100,4.75,1014,80,19,18,16,248,116,248,0,1,8.8,météo défavorable
2009-02-12,17,15,2,15,17,15,3.5,99,5.625,1015,82.625,18,16,15,248,143,122,0,1,6,météo défavorable
2009-02-13,19,13,6,14,18,15,7,98,4.375,1014,77.125,19,17,15,248,116,248,0,1,8.8,météo défavorable
2009-02-14,17,14,5,14,17,15,11.1,99,4.125,1014,85.625,17,16,15,248,143,248,0,1,7.4,météo défavorable
2009-02-15,17,14,6,14,17,15,8.4,99,3.75,1015,85.125,17,17,15,248,248,248,0,1,7.4,météo défavorable
2009-02-16,14,12,4,14,14,13,7.7,99,3.75,1015,78.625,15,14,13,248,248,248,0,1,7.4,météo défavorable
2009-02-17,17,13,4,13,17,15,7.3,99,5.625,1014,67.875,17,16,15,248,119,248,0,1,7.4,météo défavorable
2009-02-18,20,12,5,13,20,15,10.8,99,4.125,1014,74.875,20,18,16,248,200,248,0,1,10.2,météo défavorable
2009-02-19,18,15,6,15,18,15,10.3,99,5.5,1013,81.125,18,17,15,248,116,248,0,1,7.4,météo défavorable
2009-02-20,19,13,5,15,19,15,5.3,98,4.75,1012,69.125,19,16,15,143,116,248,0,1,10.2,météo défavorable
2009-02-21,18,14,4,15,18,15,7.3,99,4.875,1013,84.375,18,16,15,248,116,248,0,1,7.4,météo défavorable
2009-02-22,16,14,4,15,16,14,4.5,99,3.5,1015,94.375,16,16,15,248,248,248,0,1,6,météo défavorable
2009-02-23,21,10,7,14,21,15,5.6,97,6,1015,58.25,21,17,15,248,116,143,0,1,10.2,météo correcte
2009-02-24,20,13,8,14,20,15,6.8,98,3.875,1014,76,20,17,15,248,113,248,0,1,10.2,météo défavorable
2009-02-25,19,14,7,15,19,15,5.2,97,6.375,1014,61.875,20,17,15,248,113,248,0,1,10.2,météo correcte
2009-02-26,19,14,7,15,19,15,10.5,99,5.25,1014,72.25,19,18,16,248,200,248,0,1,8.8,météo défavorable
2009-02-27,20,14,3,14,20,16,7.9,99,5.625,1013,71.5,20,18,16,248,200,248,0,1,10.2,météo défavorable
2009-02-28,21,14,4,14,21,16,23.9,99,4.625,1012,69.25,21,18,16,248,113,359,0,1,10.2,météo très défavorable
2009-03-01,16,15,3,15,16,15,15.6,99,5.125,1013,83.375,17,16,16,248,248,248,0,1,6,météo défavorable
2009-03-02,17,14,4,15,17,16,13.1,99,5.5,1014,77.625,17,16,15,248,143,248,0,1,6,météo défavorable
2009-03-03,18,15,4,15,18,16,6.9,100,4.875,1015,90.125,18,17,16,248,119,248,0,1,6,météo défavorable
2009-03-04,19,15,5,15,19,16,8.6,100,5.625,1014,80.375,19,17,16,248,116,248,0,1,8.8,météo défavorable
2009-03-05,21,14,4,15,21,16,6,99,5.5,1014,59.75,24,17,16,143,113,248,0,1,10.2,météo correcte
2009-03-06,19,15,5,16,19,16,12.3,99,5.5,1014,72.25,19,18,16,248,116,248,0,1,8.8,météo défavorable
2009-03-07,19,15,3,15,19,16,11.6,99,5.125,1014,69.25,20,18,16,143,113,248,0,1,7.4,météo défavorable
2009-03-08,20,15,3,16,20,16,6.8,98,5.625,1014,72.125,20,17,16,248,116,248,0,1,8.8,météo défavorable
2009-03-09,18,14,5,15,18,16,7.9,99,5.5,1014,77.875,18,17,16,248,116,248,0,1,8.8,météo défavorable
2009-03-10,18,14,5,15,18,16,9.1,99,4.75,1013,84.875,18,17,16,248,119,248,0,1,6,météo défavorable
2009-03-11,16,15,5,15,16,15,10.1,99,4,1013,92.5,16,16,15,248,248,248,0,1,6,météo défavorable
2009-03-12,16,14,8,14,16,16,11.3,100,4.75,1014,92.875,17,16,15,248,143,248,0,1,6,météo défavorable
2009-03-13,17,13,7,14,17,15,4.7,98,5.875,1014,73.5,18,16,15,248,116,248,0,1,10.2,météo défavorable
2009-03-14,18,13,4,14,18,15,7.4,99,5.625,1016,76.25,18,17,15,248,116,248,0,1,8.8,météo défavorable
2009-03-15,18,13,5,15,18,15,23.6,99,4,1015,85.75,18,17,16,248,143,248,0,1,6,météo très défavorable
2009-03-16,18,15,4,15,18,15,21.4,100,2.875,1016,92.25,18,17,16,248,143,248,0,1,6,météo très défavorable
2009-03-17,16,14,2,15,15,15,25.9,100,2.375,1014,98,16,16,15,248,248,248,0,1,6,météo très défavorable
2009-03-18,17,14,3,15,17,15,14.6,100,3.375,1013,92.375,17,17,16,248,248,248,0,1,6,météo défavorable
2009-03-19,16,15,4,15,16,15,18.7,100,3.75,1013,95.25,16,16,16,248,248,248,0,1,6,météo très défavorable
2009-03-20,16,15,4,15,15,15,16.7,100,3.25,1013,94.375,16,16,15,248,248,248,0,1,6,météo très défavorable
2009-03-21,18,13,6,15,18,15,16.5,100,6.125,1013,72.25,19,17,15,119,143,248,0,1,7.4,météo très défavorable
2009-03-22,17,14,4,15,17,16,11.9,100,4,1013,92.75,17,17,16,248,248,248,0,1,6,météo défavorable
2009-03-23,17,14,5,15,17,15,11.8,99,4.375,1014,90.75,17,16,16,248,143,248,0,1,6,météo défavorable
2009-03-24,18,14,5,15,18,16,7.9,99,5.25,1013,76,18,17,16,143,116,248,0,1,8.8,météo défavorable
2009-03-25,16,14,4,15,16,15,9.9,99,4.125,1014,88.625,16,15,15,248,248,248,0,1,6,météo défavorable
2009-03-26,16,13,5,15,16,15,8.3,100,4.25,1014,90.75,17,16,15,248,248,248,0,1,6,météo défavorable
2009-03-27,18,12,5,15,17,15,12.7,99,4.25,1014,84.75,19,17,15,248,248,248,0,1,7.4,météo défavorable
2009-03-28,17,14,5,14,17,15,10.4,99,5.125,1015,82,17,16,15,248,116,248,0,1,6,météo défavorable
2009-03-29,17,14,5,14,17,15,10.3,99,5.625,1015,82.125,17,16,15,248,119,248,0,1,6,météo défavorable
2009-03-30,17,14,5,14,17,15,14,99,4.25,1015,72.875,18,16,15,248,143,248,0,1,10.2,météo défavorable
2009-03-31,15,14,5,14,15,14,9.1,100,4.375,1016,83.75,15,15,14,248,248,248,0,1,6,météo défavorable
2009-04-01,17,13,7,13,17,15,8.9,99,5.375,1016,79.25,18,16,15,248,116,248,0,1,7.4,météo défavorable
2009-04-02,17,13,6,14,17,15,9.8,99,4,1015,80.625,17,16,15,248,143,248,0,1,7.4,météo défavorable
2009-04-03,18,13,8,14,18,15,4.1,99,3.625,1014,81.375,18,16,15,248,116,248,0,1,7.4,météo défavorable
2009-04-04,18,12,4,14,18,15,4.1,100,6,1016,70.125,19,16,15,248,116,248,0,1,8.8,météo défavorable
2009-04-05,19,14,5,15,19,16,5.7,98,6.25,1014,65.625,20,18,16,248,116,248,0,1,10.2,météo défavorable
2009-04-06,22,12,6,15,22,16,3.9,96,3.875,1015,62.375,25,16,16,248,113,143,0,1,10.2,météo correcte
2009-04-07,19,14,5,16,19,15,8.4,99,8.25,1016,60.625,20,18,15,116,113,248,0,1,7.4,météo correcte
2009-04-08,16,14,4,14,16,15,4,99,3.5,1017,84.625,16,16,15,248,143,248,0,1,6.1,météo défavorable
2009-04-09,18,14,3,15,18,16,8.4,99,5.625,1015,77.25,19,17,16,143,119,248,0,1,7.4,météo défavorable
2009-04-10,17,14,2,15,16,15,3.7,100,4.625,1016,85.5,17,16,15,248,116,248,0,1,7.4,météo défavorable
2009-04-11,18,12,4,14,17,15,9.4,99,3,1016,77.875,19,17,15,143,143,248,0,1,7.4,météo défavorable
2009-04-12,16,13,4,14,16,15,1.9,100,4.125,1016,81.5,16,16,16,248,143,248,0,1,9,météo défavorable
2009-04-13,18,12,4,14,18,15,7.8,99,4.5,1015,78,18,17,15,143,116,248,0,1,10.3,météo défavorable
2009-04-14,17,15,5,15,17,15,19.2,99,3.875,1016,90.25,18,17,15,248,143,248,0,1,7.6,météo très défavorable
2009-04-15,18,15,3,15,18,16,22.5,99,4.375,1016,76.375,18,17,16,299,248,248,0,1,9.2,météo très défavorable
2009-04-16,19,14,3,15,19,16,16.5,100,4.375,1015,76.875,19,19,16,248,143,359,0,1,9.2,météo très défavorable
2009-04-17,20,14,5,14,19,16,8.1,99,4.5,1014,76.625,20,18,16,248,116,248,0,1,10.5,météo défavorable
2009-04-18,20,14,2,15,20,16,2.8,99,7.125,1013,61.125,20,17,17,143,113,122,0,1,11.8,météo correcte
2009-04-19,21,14,3,16,21,17,6.2,99,4.25,1013,74.375,24,18,17,248,116,248,0,1,10.5,météo défavorable
2009-04-20,18,15,1,16,18,16,9.8,100,3.875,1014,82.25,19,18,17,248,143,119,0,1,9.2,météo défavorable
2009-04-21,19,14,5,15,19,16,5.7,100,5.625,1016,74.5,19,17,16,248,116,248,0,1,9.2,météo défavorable
2009-04-22,21,13,5,15,20,16,6.9,99,4.5,1016,63.625,24,17,16,143,113,248,0,1,12.5,météo correcte
2009-04-23,19,15,4,16,19,16,10.3,100,6.875,1015,69.25,20,18,16,116,113,248,0,1,10.5,météo défavorable
2009-04-24,19,15,3,16,19,16,7.8,100,7,1015,68.125,19,18,16,119,116,248,0,1,11.8,météo défavorable
2009-04-25,19,14,1,16,19,16,8,99,7.375,1014,65.25,19,18,16,116,116,248,0,1,11.8,météo défavorable
2009-04-26,20,15,2,16,20,16,3.1,100,6.375,1015,58.875,20,17,16,143,116,248,0,1,12.5,météo correcte
2009-04-27,20,14,3,15,20,16,4.5,100,7.75,1014,53.375,20,18,17,116,116,119,0,1,12.5,météo favorable
2009-04-28,20,14,3,16,19,16,6.4,100,8.125,1015,60.875,20,18,16,116,116,122,0,1,11.8,météo correcte
2009-04-29,20,15,4,16,18,16,21.4,100,3.25,1014,78.75,20,18,16,143,143,248,0,1,10.5,météo très défavorable
2009-04-30,17,15,4,15,17,15,20.4,99,3.25,1016,91.375,17,16,16,248,248,248,0,1,7.8,météo très défavorable
2009-05-01,17,13,5,15,17,16,19.2,100,3.125,1017,89.375,18,17,16,248,248,248,0,1,9.2,météo très défavorable
2009-05-02,17,14,5,15,17,15,15.5,100,5,1016,96.75,17,17,15,122,248,248,0,1,7.8,météo défavorable
2009-05-03,16,13,4,14,15,14,18.7,100,3.375,1018,86,16,15,14,248,248,248,0,1,7.8,météo très défavorable
2009-05-04,18,13,6,15,18,15,8.5,100,6.375,1017,69,18,16,15,143,116,356,0,1,11.8,météo défavorable
2009-05-05,19,13,5,15,19,16,7.3,99,5,1016,67,19,17,16,143,200,248,0,1,11.8,météo défavorable
2009-05-06,18,13,4,16,18,16,23.6,100,4.75,1015,74.75,19,17,16,143,248,359,0,1,10.5,météo très défavorable
2009-05-07,18,14,4,16,18,16,11.5,99,5.25,1015,84.25,18,18,16,116,248,248,0,1,9.2,météo défavorable
2009-05-08,21,14,5,14,21,16,8.9,99,6.25,1015,68.875,24,17,16,248,113,119,0,1,10.5,météo défavorable
2009-05-09,20,14,3,16,20,16,8,99,5,1014,64.375,20,18,17,143,200,248,0,1,11.8,météo correcte
2009-05-10,20,15,4,16,20,16,3.9,99,4.75,1014,69.25,21,19,16,143,200,248,0,1,11.8,météo défavorable
2009-05-11,19,14,3,15,19,16,0.2,100,4.625,1014,67.375,19,17,16,116,116,248,0,1,11.8,météo défavorable
2009-05-12,21,13,3,15,19,16,9.7,100,5.5,1014,70,24,17,16,116,116,248,0,1,11.8,météo défavorable
2009-05-13,18,15,5,15,18,15,15.3,100,5,1014,72.25,18,17,15,248,143,248,0,1,9.2,météo défavorable
2009-05-14,19,15,5,15,19,16,9.8,100,4,1014,83.625,19,18,16,248,200,248,0,1,9.2,météo défavorable
2009-05-15,18,15,4,16,18,16,5.9,99,4.125,1014,83.125,19,18,16,248,143,248,0,1,9.2,météo défavorable
2009-05-16,18,14,4,16,17,16,8.4,99,3.875,1013,81.625,18,17,16,143,248,248,0,1,10.5,météo défavorable
2009-05-17,18,14,4,15,18,16,6.9,99,4.625,1013,91.25,18,17,16,248,248,248,0,1,7.9,météo défavorable
2009-05-18,18,14,3,16,18,16,10,99,4.625,1014,78.5,18,18,17,143,143,248,0,1,9.2,météo défavorable
2009-05-19,20,15,2,15,20,16,5.1,100,5.5,1015,70.625,20,17,16,248,200,248,0,1,10.5,météo défavorable
2009-05-20,19,13,7,16,19,16,1.3,100,5,1014,66.625,19,17,16,116,116,248,0,1,11.8,météo défavorable
2009-05-21,19,13,4,14,19,16,1.1,100,6,1014,56.5,19,17,16,143,116,119,0,1,11.8,météo correcte
2009-05-22,19,14,4,15,19,16,6.4,99,4.875,1016,72.625,19,17,16,143,116,248,0,1,11.8,météo défavorable
2009-05-23,19,14,5,15,19,16,7.7,99,4.875,1016,73.375,19,18,16,248,116,248,0,1,10.5,météo défavorable
2009-05-24,19,13,3,15,19,16,10.7,99,4.5,1017,73,20,18,16,143,116,248,0,1,11.8,météo défavorable
2009-05-25,19,15,3,15,19,16,5.1,100,5.5,1015,71.5,19,17,16,248,116,248,0,1,10.5,météo défavorable
2009-05-26,23,14,5,15,23,16,0,98,5.25,1016,55.625,25,16,16,143,113,248,0,1,12.6,météo correcte
2009-05-27,20,14,3,16,20,16,5.6,100,5.5,1015,64.5,21,18,16,143,116,122,0,1,12.6,météo correcte
2009-05-28,21,14,3,16,19,16,8.6,99,5.5,1015,64.5,21,18,16,143,116,248,0,1,11.8,météo correcte
2009-05-29,16,14,4,16,16,15,8,99,5.125,1017,81.125,16,16,16,116,248,248,0,1,9.2,météo défavorable
2009-05-30,18,12,6,15,17,16,4.6,100,4.875,1016,82,18,17,16,143,119,248,0,1,9.2,météo défavorable
2009-05-31,21,13,2,15,20,15,4.8,99,5.5,1016,60,21,17,15,143,116,248,0,1,11.8,météo correcte
2009-06-01,22,12,4,14,22,15,2.8,100,4.875,1015,57.125,25,18,15,116,113,248,0,1,12.6,météo correcte
2009-06-02,24,13,5,15,24,16,0.5,97,7.75,1014,38.375,25,16,16,113,113,143,0,1,12.6,météo favorable
2009-06-03,23,14,4,17,23,16,19,99,6.375,1014,47.75,25,17,16,113,116,248,0,1,11.8,météo très défavorable
2009-06-04,19,14,5,16,19,15,3.7,98,4.75,1015,65.375,19,17,16,143,116,248,0,1,12.6,météo défavorable
2009-06-05,18,13,4,14,17,15,11.6,99,5.5,1017,62.25,18,16,15,116,143,248,0,1,9.2,météo correcte
2009-06-06,18,13,4,14,18,16,7.8,100,6,1016,64.125,19,17,16,248,116,248,0,1,10.5,météo correcte
2009-06-07,18,14,2,14,18,15,8.4,99,4.5,1015,71.375,19,17,16,248,143,248,0,1,9.2,météo défavorable
2009-06-08,19,13,2,13,19,16,3,100,5.125,1015,66.75,20,17,16,143,116,248,0,1,11.8,météo défavorable
2009-06-09,19,13,3,14,19,16,4.8,99,5.5,1016,61.875,20,17,16,143,116,248,0,1,11.8,météo correcte
2009-06-10,19,13,6,14,19,16,14.2,100,5.375,1016,77.75,19,17,16,248,116,119,0,1,10.5,météo défavorable
2009-06-11,16,14,6,14,16,15,15.3,100,4.25,1016,76.875,16,16,15,248,143,248,0,1,7.9,météo défavorable
2009-06-12,18,13,6,14,18,15,3.8,100,4.875,1016,69,18,16,15,248,116,248,0,1,10.5,météo défavorable
2009-06-13,19,13,3,14,19,15,12.6,99,5.125,1016,79.625,19,16,16,248,116,248,0,1,10.5,météo défavorable
2009-06-14,15,13,3,14,15,13,19.7,100,2.625,1017,93.375,15,15,13,248,248,248,0,1,7.9,météo très défavorable
2009-06-15,17,12,4,14,17,14,0.6,100,3.75,1016,74,17,16,15,248,116,248,0,1,11.8,météo défavorable
2009-06-16,20,12,2,14,20,15,3.5,99,6,1016,68.25,21,17,16,248,113,248,0,1,10.5,météo défavorable
2009-06-17,21,13,3,13,21,16,0.6,99,4.125,1015,57.125,24,16,16,143,113,248,0,1,12.6,météo correcte
2009-06-18,19,13,2,14,19,16,3.1,100,6.5,1014,58.375,19,17,16,116,116,248,0,1,11.8,météo correcte
2009-06-19,20,13,4,14,20,16,7.1,100,4.75,1014,57.125,21,17,16,143,116,248,0,1,11.8,météo correcte
2009-06-20,19,14,4,15,18,16,4.7,99,4.875,1014,85.125,19,17,16,248,116,248,0,1,9.2,météo défavorable
2009-06-21,19,13,4,15,18,15,18.7,99,4,1015,80.375,20,17,16,248,116,248,0,1,10.5,météo très défavorable
2009-06-22,15,14,5,15,15,14,16.6,100,6.625,1014,69.75,15,15,14,143,248,119,0,1,9.2,météo très défavorable
2009-06-23,16,13,3,15,16,15,9.2,100,4.625,1016,85.625,17,16,15,248,248,122,0,1,7.9,météo défavorable
2009-06-24,18,13,5,14,17,15,1.4,99,2.625,1016,71.25,19,17,15,248,143,248,0,1,11.8,météo défavorable
2009-06-25,21,13,4,14,21,15,4.8,100,4.75,1016,63.25,21,17,16,143,113,248,0,1,11.9,météo correcte
2009-06-26,18,13,5,14,18,15,2,100,4.25,1016,70.5,19,17,16,248,116,248,0,1,11.9,météo défavorable
2009-06-27,20,13,3,15,20,15,3,100,7.375,1016,51.5,20,17,15,113,116,248,0,1,12.6,météo favorable
2009-06-28,19,13,4,15,19,15,1,100,4.75,1016,59.5,19,16,15,143,116,248,0,1,11.8,météo correcte
2009-06-29,19,13,3,13,19,15,3.3,100,4.5,1016,60.875,20,17,16,143,116,248,0,1,11.8,météo correcte
2009-06-30,19,14,2,15,19,16,1.6,100,5,1014,65.5,19,17,16,143,116,248,0,1,12.6,météo défavorable
2009-07-01,19,13,4,15,18,15,4.4,100,4.875,1015,62.875,20,17,15,143,116,248,0,1,12.6,météo correcte
2009-07-02,20,13,5,14,20,15,1.7,100,4.5,1016,57.875,21,16,16,143,116,248,0,1,12.2,météo correcte
2009-07-03,20,12,4,13,19,15,8.1,99,6.125,1016,53.25,20,17,15,116,116,248,0,1,11.7,météo correcte
2009-07-04,18,13,6,14,18,15,4.3,100,6,1015,74.875,18,16,15,248,119,248,0,1,9,météo défavorable
2009-07-05,20,12,2,13,18,16,3.5,100,5.125,1016,67.875,20,17,16,143,116,248,0,1,11.7,météo défavorable
2009-07-06,19,13,4,14,19,15,1.6,100,5.125,1015,62.625,20,17,16,143,116,248,0,1,12.2,météo correcte
2009-07-07,20,14,4,14,20,16,3.4,99,6.125,1014,54.375,20,17,16,113,116,248,0,1,8.8,météo favorable
2009-07-08,19,13,4,15,19,15,3.3,99,6,1015,58.75,20,16,15,143,116,248,0,1,10.2,météo correcte
2009-07-09,19,13,3,13,19,15,5.2,99,7.375,1016,52.125,19,16,15,113,116,248,0,1,8.8,météo favorable
2009-07-10,20,13,3,15,20,14,2,99,3.625,1016,72.5,20,16,14,248,113,248,0,1,10.2,météo défavorable
2009-07-11,20,12,3,13,20,14,0.3,99,6.625,1016,43.75,21,15,14,113,116,248,0,1,10.2,météo favorable
2009-07-12,22,13,5,13,22,15,4.3,100,10,1015,28.875,25,17,15,113,113,353,0,1,10.2,météo favorable
2009-07-13,23,13,4,14,23,15,0.8,99,7.5,1015,39.875,25,16,16,116,113,248,0,1,10.2,météo favorable
2009-07-14,23,14,5,16,23,15,2.3,99,6.625,1016,32.375,25,17,15,113,113,248,0,1,10.2,météo favorable
2009-07-15,23,14,4,15,23,15,1.5,99,7.375,1015,39.375,25,16,16,116,113,248,0,1,10.2,météo favorable
2009-07-16,22,14,4,15,22,15,1.4,100,6.5,1015,44,25,17,15,113,113,248,0,1,10.2,météo favorable
2009-07-17,24,14,6,15,24,16,1.7,100,8.625,1015,32.25,25,17,16,113,113,248,0,1,10.2,météo favorable
2009-07-18,19,14,8,15,16,14,3,96,8.625,1016,39.125,19,15,14,116,119,143,0,1,8.8,météo correcte
2009-07-19,21,14,2,15,21,15,4.4,99,8.625,1016,36,25,17,16,113,116,248,0,1,10.2,météo favorable
2009-07-20,20,12,2,13,19,16,6.9,99,6.375,1015,54.25,21,17,16,113,119,248,0,1,7.5,météo correcte
2009-07-21,17,14,4,14,17,15,2.7,99,3.75,1015,67.875,17,16,15,143,116,248,0,1,8.8,météo défavorable
2009-07-22,18,14,2,15,18,16,5.4,100,4.125,1015,81.125,18,17,16,143,143,122,0,1,7.5,météo défavorable
2009-07-23,20,13,3,15,20,15,0.6,99,5.25,1015,58,21,16,16,143,116,248,0,1,10.2,météo correcte
2009-07-24,19,14,5,15,18,15,0.5,99,5.25,1015,62.25,19,17,16,113,116,248,0,1,10.2,météo correcte
2009-07-25,24,13,4,15,24,15,0,98,6.75,1016,39,25,16,15,116,113,248,0,1,10.2,météo favorable
2009-07-26,23,14,4,15,23,16,0.2,99,6.5,1015,45.25,25,16,16,116,113,248,0,1,10.2,météo favorable
2009-07-27,24,14,6,15,24,16,0.7,99,8.5,1015,35.75,26,16,16,116,113,248,0,1,10.2,météo favorable
2009-07-28,23,14,12,15,23,16,0.9,99,8.5,1014,33.625,25,16,16,116,116,248,0,1,10.2,météo favorable
2009-07-29,20,13,5,14,20,15,0.2,92,10,1015,31.375,21,15,15,116,116,116,0,1,11.6,météo favorable
2009-07-30,21,12,5,13,21,14,0.3,95,7.875,1017,19.375,24,14,15,113,116,143,0,1,11.6,météo favorable
2009-07-31,22,12,8,13,22,15,0.9,100,8.125,1016,47,25,16,15,119,113,248,0,1,10.2,météo favorable
2009-08-01,23,13,4,14,23,16,3.6,100,6.125,1015,49.875,25,18,16,116,113,248,0,1,10.2,météo favorable
2009-08-02,23,13,5,15,23,16,1.1,99,7.5,1014,34.75,25,17,16,116,113,248,0,1,10.2,météo favorable
2009-08-03,24,14,7,15,24,15,0.1,98,8.75,1015,32.5,26,15,16,113,113,248,0,1,10.2,météo favorable
2009-08-04,23,14,4,16,23,15,1.7,98,8.625,1014,29,25,16,16,113,113,248,0,1,10.2,météo favorable
2009-08-05,20,14,3,16,18,16,1.7,100,8.75,1015,47.75,20,16,16,113,116,248,0,1,8.8,météo favorable
2009-08-06,19,14,3,15,18,15,6.9,99,6,1015,61.625,19,16,16,143,116,248,0,1,8.8,météo correcte
2009-08-07,18,14,2,15,18,16,4.9,99,7.375,1016,65,18,16,16,143,119,119,0,1,7.5,météo défavorable
2009-08-08,19,14,3,15,18,15,4.9,99,5.25,1016,65.375,19,16,15,116,116,248,0,1,8.8,météo défavorable
2009-08-09,20,13,3,14,20,15,1.1,98,5.375,1016,53.375,21,16,16,116,116,248,0,1,10.2,météo favorable
